remittance_id,customer_id,transfer_date,destination_country,transfer_amount,exchange_rate,transfer_fee,transfer_status,channel
REM0000086,CUST00295,2026-09-12,Philippines,7549.98,84.325947,7.08,Completed,Branch
REM0000087,CUST00693,2024-07-30,Jordan,6855.2,64.309641,27.26,Completed,Partner
REM0000088,CUST00764,2025-04-21,Jordan,4385.78,1.715983,17.51,Completed,Branch
REM0000089,CUST00754,2024-12-31,Sri Lanka,7781.02,1.898381,53.59,Completed,Mobile App
REM0000090,CUST00868,2025-12-31,Nepal,3631.11,39.368316,35.53,Completed,Partner
REM0000091,CUST00856,2024-02-11,Philippines,6260.84,20.390729,71.81,Completed,Branch
REM0000092,CUST00102,2025-04-22,Philippines,1644.68,33.869484,72.5,Completed,Branch
REM0000093,CUST00016,2026-08-28,Egypt,7132.85,82.106339,17.83,Completed,Branch
REM0000094,CUST00596,2026-07-19,Pakistan,2773.35,39.704542,25.26,Completed,Mobile App
REM0000095,CUST00359,2024-09-12,Bangladesh,2232.82,13.846984,61.35,Failed,Mobile App
REM0000096,CUST00664,2024-02-22,Jordan,4051.97,75.20934,72.03,Completed,Branch
REM0000097,CUST00642,2025-12-11,India,1810.95,37.265698,9.99,Pending,Partner
REM0000098,CUST00649,2025-08-27,Bangladesh,2784.21,17.940287,59.87,Completed,Mobile App
REM0000099,CUST00988,2024-01-08,Sri Lanka,5141.77,41.284009,42.95,Pending,Mobile App
REM0000100,CUST00870,2025-09-17,Bangladesh,6544.19,2.417413,30.37,Completed,Branch
REM0000101,CUST00352,2026-09-18,Egypt,772.18,14.80277,50.64,Completed,Branch
REM0000102,CUST00800,2025-10-13,Pakistan,5617.32,19.3341,46.2,Completed,Partner
REM0000103,CUST00627,2025-11-04,Pakistan,7729.98,65.877443,72.5,Failed,Partner
REM0000104,CUST00870,2026-06-11,Egypt,4125.07,10.030709,7.66,Completed,Branch
REM0000105,CUST00947,2025-08-07,Nepal,1240.36,48.10472,54.95,Completed,Mobile App
REM0000106,CUST00890,2024-05-03,Egypt,2085.08,9.046509,44.14,Completed,Partner
REM0000107,CUST00531,2025-08-10,Sri Lanka,1337.53,66.644073,33.11,Completed,Branch
REM0000108,CUST00055,2024-04-16,Pakistan,4765.87,31.419265,48.0,Completed,Partner
REM0000109,CUST00058,2024-03-20,Nepal,1552.72,8.552614,44.04,Completed,Mobile App
REM0000110,CUST00474,2026-12-26,India,4016.12,77.975712,25.99,Completed,Partner
REM0000111,CUST00680,2024-04-12,Bangladesh,4465.1,78.562121,51.44,Completed,Branch
REM0000112,CUST00091,2026-02-18,Pakistan,3955.55,54.96309,57.48,Completed,Partner
REM0000113,CUST00027,2025-07-01,Nepal,2015.22,63.484682,71.11,Completed,Branch
REM0000114,CUST00891,2025-10-22,Nepal,2930.52,46.839316,73.26,Completed,Mobile App
REM0000115,CUST00832,2026-10-31,Bangladesh,1261.16,84.035441,67.3,Completed,Partner
REM0000116,CUST00641,2024-12-16,Nepal,1659.96,77.055867,23.63,Completed,Partner
REM0000117,CUST00380,2024-03-12,Philippines,5050.67,60.164536,20.86,Pending,Partner
REM0000118,CUST00669,2025-02-09,Jordan,1457.11,76.187051,11.67,Completed,Mobile App
REM0000119,CUST00446,2025-10-11,Sri Lanka,366.72,17.549868,39.44,Completed,Branch
REM0000120,CUST00933,2025-10-14,Pakistan,2384.71,20.529359,58.84,Completed,Partner
REM0000121,CUST00222,2026-09-21,Egypt,4609.27,61.706761,27.35,Completed,Branch
REM0000122,CUST00446,2025-04-28,India,5079.49,75.933334,73.15,Completed,Branch
REM0000123,CUST00550,2026-04-11,Egypt,4521.15,32.389661,18.35,Completed,Partner
REM0000124,CUST00287,2026-07-14,Nepal,995.6,72.07127,5.2,Completed,Partner
REM0000125,CUST00633,2026-08-09,Pakistan,5210.75,18.862687,15.05,Completed,Partner
REM0000126,CUST00856,2026-12-27,Bangladesh,5237.59,29.968288,60.22,Pending,Partner
REM0000127,CUST00240,2026-11-18,Philippines,6871.73,76.014455,15.78,Completed,Partner
REM0000128,CUST00142,2026-08-21,Philippines,3691.96,19.229253,72.72,Pending,Partner
REM0000129,CUST00247,2024-10-02,Bangladesh,5803.44,83.877052,37.29,Completed,Branch
REM0000130,CUST00446,2025-01-08,India,1168.15,44.584201,8.49,Completed,Branch
REM0000131,CUST00935,2026-08-04,Egypt,3374.48,19.584888,68.75,Completed,Branch
REM0000132,CUST00787,2026-08-25,Bangladesh,409.34,42.841477,10.74,Completed,Partner
REM0000133,CUST00611,2026-10-21,Philippines,6779.1,30.351853,34.67,Completed,Partner
REM0000134,CUST00750,2026-01-30,India,5415.68,17.766145,21.77,Completed,Branch
REM0000135,CUST00366,2026-02-16,Nepal,7842.52,30.464991,53.03,Completed,Partner
REM0000136,CUST00777,2026-03-16,Pakistan,698.98,31.191961,10.12,Completed,Partner
REM0000137,CUST00956,2024-12-11,Bangladesh,3837.78,76.932681,55.4,Completed,Partner
REM0000138,CUST00490,2025-09-30,Egypt,4563.02,60.097459,5.19,Completed,Mobile App
REM0000139,CUST00451,2026-04-18,Jordan,2595.83,33.168372,52.54,Completed,Partner
REM0000140,CUST00966,2025-03-14,Bangladesh,4424.88,1.055741,71.49,Completed,Branch
REM0000141,CUST00314,2024-04-14,Nepal,2603.52,6.898739,54.58,Completed,Partner
REM0000142,CUST00519,2024-11-19,Sri Lanka,758.62,78.049532,21.18,Completed,Partner
REM0000143,CUST00725,2025-05-21,India,2124.56,11.792758,54.31,Completed,Partner
REM0000144,CUST00023,2024-02-12,Sri Lanka,5987.67,68.267519,41.25,Completed,Mobile App
REM0000145,CUST00546,2025-02-07,Nepal,4088.68,71.200275,46.89,Completed,Mobile App
REM0000146,CUST00489,2026-04-07,Jordan,4352.89,66.637109,39.22,Completed,Branch
REM0000147,CUST00038,2025-04-14,Egypt,6763.54,33.113394,74.47,Completed,Partner
REM0000148,CUST00994,2025-01-22,Sri Lanka,5166.45,11.080503,48.29,Completed,Partner
REM0000149,CUST00471,2026-05-26,India,5884.66,72.031813,60.79,Completed,Mobile App
REM0000150,CUST00714,2025-08-18,Jordan,6220.1,36.88416,9.39,Completed,Partner
REM0000151,CUST00246,2025-06-17,Nepal,7969.8,5.983706,63.17,Completed,Branch
REM0000152,CUST00741,2024-05-30,Egypt,7386.94,21.049172,43.43,Completed,Branch
REM0000153,CUST00556,2026-02-20,Sri Lanka,2635.08,8.262761,57.03,Completed,Partner
REM0000154,CUST00880,2024-10-29,Pakistan,4283.91,31.67972,8.47,Completed,Mobile App
REM0000155,CUST00622,2026-01-30,Bangladesh,7824.6,58.70951,34.81,Failed,Partner
REM0000156,CUST00529,2026-11-02,Pakistan,1647.19,32.437659,67.89,Completed,Branch
REM0000157,CUST00338,2026-05-30,Bangladesh,2459.98,70.828644,28.45,Completed,Mobile App
REM0000158,CUST00435,2025-03-29,Bangladesh,3719.82,42.047503,32.81,Completed,Mobile App
REM0000159,CUST00189,2026-07-28,Bangladesh,6608.83,5.520527,39.73,Completed,Branch
REM0000160,CUST00343,2024-05-30,Jordan,5442.88,28.49477,13.42,Completed,Mobile App
REM0000161,CUST00370,2024-08-28,Pakistan,2440.86,8.770631,56.37,Completed,Partner
REM0000162,CUST00024,2024-04-18,Sri Lanka,6908.22,68.848156,41.53,Failed,Branch
REM0000163,CUST00965,2025-10-10,India,1050.14,8.232178,72.84,Failed,Partner
REM0000164,CUST00230,2024-06-17,Sri Lanka,328.09,74.962061,50.32,Completed,Partner
REM0000165,CUST00027,2025-05-30,Egypt,7941.5,82.827335,66.26,Completed,Branch
REM0000166,CUST00026,2024-12-08,Nepal,4685.37,77.221521,22.02,Completed,Mobile App
REM0000167,CUST00804,2026-08-24,Pakistan,5703.89,13.732059,24.81,Completed,Mobile App
REM0000168,CUST00873,2025-09-17,Sri Lanka,7962.44,25.66217,34.81,Completed,Partner
REM0000169,CUST00708,2026-11-20,Pakistan,7227.86,13.1203,11.31,Completed,Partner
REM0000170,CUST00189,2026-04-29,Philippines,2630.63,69.796565,64.09,Completed,Mobile App
REM0000171,CUST00153,2025-05-20,Philippines,3534.89,63.204575,31.21,Completed,Mobile App
REM0000172,CUST00584,2024-07-27,Jordan,1905.58,49.319727,55.46,Completed,Branch
REM0000173,CUST00060,2025-04-18,Bangladesh,4916.67,75.394928,68.85,Completed,Branch
REM0000174,CUST00627,2026-08-25,India,7143.87,76.849127,36.16,Completed,Mobile App
REM0000175,CUST00937,2026-06-26,Bangladesh,7540.52,25.1212,38.92,Completed,Partner
REM0000176,CUST00707,2024-04-04,Bangladesh,6741.86,7.161434,30.87,Completed,Branch
REM0000177,CUST00357,2024-11-19,Egypt,4739.35,9.083069,15.04,Completed,Mobile App
REM0000178,CUST00123,2026-01-11,India,4433.02,67.519473,31.75,Completed,Mobile App
REM0000179,CUST00902,2025-06-04,Bangladesh,4898.23,7.836625,11.96,Completed,Partner
REM0000180,CUST00794,2025-12-09,Philippines,3185.05,46.174311,35.0,Completed,Branch
REM0000181,CUST00008,2026-01-11,India,1679.29,44.874614,29.66,Completed,Partner
REM0000182,CUST00139,2024-04-13,Egypt,2330.07,77.150602,30.92,Completed,Partner
REM0000183,CUST00867,2026-01-22,Philippines,883.04,40.592516,10.68,Completed,Branch
REM0000184,CUST00659,2024-06-16,Pakistan,3641.14,83.251904,73.47,Completed,Branch
REM0000185,CUST00981,2026-12-21,Nepal,1137.37,13.590562,17.11,Completed,Mobile App
REM0000186,CUST00892,2024-10-04,Pakistan,2214.57,20.17487,18.28,Completed,Branch
REM0000187,CUST00837,2025-12-04,India,5183.8,2.609078,34.37,Completed,Branch
REM0000188,CUST00584,2024-07-16,India,2518.42,66.944796,56.48,Completed,Partner
REM0000189,CUST00508,2025-10-29,Bangladesh,5511.28,62.955753,51.18,Completed,Branch
REM0000190,CUST00648,2025-09-27,Jordan,2362.86,43.916272,44.56,Completed,Partner
REM0000191,CUST00182,2025-07-21,India,3811.05,36.227664,26.98,Completed,Partner
REM0000192,CUST00240,2025-09-08,Pakistan,2597.69,60.209906,30.38,Completed,Partner
REM0000193,CUST00225,2026-01-01,India,5169.83,76.723224,36.01,Pending,Mobile App
REM0000194,CUST00551,2026-08-23,Sri Lanka,3171.84,40.432584,59.98,Completed,Partner
REM0000195,CUST00678,2026-03-23,Nepal,5663.08,50.602572,24.23,Completed,Branch
REM0000196,CUST00578,2026-05-28,Jordan,5541.81,42.515925,12.47,Failed,Branch
REM0000197,CUST00837,2024-01-18,Jordan,732.77,62.0242,23.17,Completed,Partner
REM0000198,CUST00908,2026-07-17,Jordan,6537.66,17.137597,21.23,Completed,Mobile App
REM0000199,CUST00924,2024-09-19,Jordan,7314.88,47.646413,5.26,Completed,Branch
REM0000200,CUST00671,2025-04-21,Sri Lanka,3410.32,70.39259,37.25,Completed,Partner
REM0000201,CUST00442,2025-03-31,India,6762.28,56.541074,64.58,Pending,Partner
REM0000202,CUST00120,2026-07-24,Sri Lanka,383.83,79.722846,30.54,Completed,Partner
REM0000203,CUST00378,2025-02-20,Bangladesh,3850.98,6.467128,45.39,Completed,Branch
REM0000204,CUST00502,2024-04-11,Egypt,4520.69,23.738631,39.76,Completed,Mobile App
REM0000205,CUST00631,2025-05-04,Jordan,3354.1,25.192049,15.1,Completed,Mobile App
REM0000206,CUST00745,2024-02-16,Bangladesh,6831.23,58.085242,33.82,Completed,Partner
REM0000207,CUST00290,2026-05-16,Philippines,6983.06,68.487454,36.49,Completed,Branch
REM0000208,CUST00330,2024-10-02,Philippines,771.7,36.196415,18.65,Completed,Partner
REM0000209,CUST00907,2026-10-17,Egypt,931.44,63.391365,8.98,Completed,Mobile App
REM0000210,CUST00294,2026-11-04,Egypt,6935.35,4.594329,25.12,Completed,Branch
REM0000211,CUST00978,2026-09-18,Egypt,4622.49,28.663164,25.53,Failed,Branch
REM0000212,CUST00024,2026-10-21,Jordan,2548.37,33.28963,35.05,Completed,Mobile App
REM0000213,CUST00138,2024-01-16,Sri Lanka,5969.2,65.646589,65.49,Completed,Partner
REM0000214,CUST00857,2026-03-11,Bangladesh,3492.89,78.400049,73.99,Completed,Mobile App
REM0000215,CUST00388,2024-03-16,India,2312.21,76.451415,57.74,Completed,Partner
REM0000216,CUST00678,2025-02-11,Pakistan,6140.65,71.790918,70.92,Failed,Branch
REM0000217,CUST00554,2024-11-19,Philippines,6909.8,50.719039,36.25,Completed,Branch
REM0000218,CUST00420,2024-08-22,Egypt,6052.62,47.236378,16.49,Completed,Branch
REM0000219,CUST00939,2026-12-27,Pakistan,484.61,47.365241,40.75,Completed,Partner
REM0000220,CUST00683,2026-01-26,Bangladesh,1428.61,23.675444,20.79,Completed,Branch
REM0000221,CUST00201,2025-10-02,Jordan,1069.93,54.171206,46.19,Completed,Partner
REM0000222,CUST00546,2025-11-29,India,7493.02,77.330011,37.98,Completed,Partner
REM0000223,CUST00766,2026-09-06,Pakistan,5204.39,70.2949,66.25,Completed,Partner
REM0000224,CUST00486,2025-03-26,Bangladesh,3170.27,5.613353,21.81,Completed,Mobile App
REM0000225,CUST00397,2025-02-06,Philippines,3406.62,14.067633,73.21,Completed,Branch
REM0000226,CUST00004,2024-03-13,Philippines,5455.64,63.19606,59.05,Completed,Branch
REM0000227,CUST00445,2026-10-15,Sri Lanka,6012.33,41.260388,16.41,Completed,Mobile App
REM0000228,CUST00549,2026-10-12,Philippines,7620.0,60.230292,64.82,Completed,Mobile App
REM0000229,CUST00648,2025-01-03,Pakistan,567.67,65.245194,9.57,Completed,Branch
REM0000230,CUST00636,2026-12-21,Philippines,5373.04,49.494227,47.71,Completed,Mobile App
REM0000231,CUST00890,2024-07-18,Philippines,6993.42,1.271459,54.3,Failed,Partner
REM0000232,CUST00929,2026-01-21,Philippines,5088.3,14.457264,39.21,Completed,Partner
REM0000233,CUST00157,2024-01-12,Philippines,2685.96,32.54877,38.55,Completed,Branch
REM0000234,CUST00344,2026-11-04,Philippines,4059.26,26.162693,47.74,Completed,Branch
REM0000235,CUST00178,2024-09-02,Egypt,5096.64,30.882312,6.22,Completed,Mobile App
REM0000236,CUST00836,2026-02-05,Egypt,6906.66,78.245617,39.66,Completed,Mobile App
REM0000237,CUST00738,2025-12-10,India,5126.64,68.837775,74.55,Pending,Branch
REM0000238,CUST00890,2024-01-19,Egypt,7264.2,63.547181,65.57,Completed,Partner
REM0000239,CUST00198,2025-11-16,Jordan,1249.39,4.836374,51.66,Completed,Mobile App
REM0000240,CUST00951,2025-04-23,Sri Lanka,6010.32,42.480049,16.47,Completed,Branch
REM0000241,CUST00112,2025-08-28,Philippines,4568.92,53.839416,61.94,Pending,Branch
REM0000242,CUST00963,2026-05-08,Jordan,4127.26,35.783063,64.52,Completed,Mobile App
REM0000243,CUST00317,2024-10-07,Philippines,3541.16,45.028057,13.44,Failed,Mobile App
REM0000244,CUST00726,2026-10-22,Philippines,7088.93,61.150577,8.4,Completed,Partner
REM0000245,CUST00436,2026-02-07,Jordan,881.58,83.122509,70.13,Completed,Branch
REM0000246,CUST00079,2025-09-01,Nepal,2876.29,68.851039,60.75,Completed,Mobile App
REM0000247,CUST00550,2025-01-17,Egypt,6805.16,16.876797,66.96,Completed,Mobile App
REM0000248,CUST00484,2025-06-21,Nepal,6851.64,31.665081,60.75,Completed,Branch
REM0000249,CUST00536,2026-07-21,Pakistan,1290.73,75.83147,57.32,Completed,Partner
REM0000250,CUST00528,2026-09-23,Nepal,6749.27,77.369204,49.8,Failed,Mobile App
REM0000251,CUST00807,2025-09-13,Nepal,5494.0,27.384558,39.68,Completed,Partner
REM0000252,CUST00832,2026-01-08,Bangladesh,2382.82,83.93719,11.25,Completed,Mobile App
REM0000253,CUST00448,2025-04-02,Pakistan,3216.89,41.778662,74.43,Completed,Mobile App
REM0000254,CUST00732,2026-06-28,India,425.3,70.32164,57.69,Pending,Branch
REM0000255,CUST00071,2024-09-01,Sri Lanka,6636.54,27.15058,12.16,Completed,Branch
REM0000256,CUST00006,2024-11-22,Nepal,4051.52,29.409221,22.81,Completed,Branch
REM0000257,CUST00340,2026-11-26,Philippines,4183.74,66.880142,53.84,Completed,Mobile App
REM0000258,CUST00159,2025-01-02,Nepal,1293.75,13.464704,41.99,Completed,Mobile App
REM0000259,CUST00983,2026-05-01,Jordan,3268.96,67.470621,47.36,Completed,Mobile App
REM0000260,CUST00718,2026-10-09,Nepal,4138.6,13.261587,61.67,Completed,Mobile App
REM0000261,CUST00086,2024-09-27,Egypt,7106.93,46.217537,29.32,Completed,Mobile App
REM0000262,CUST00509,2026-11-08,Sri Lanka,3057.76,27.39564,52.08,Failed,Partner
REM0000263,CUST00344,2025-07-10,Nepal,5100.64,74.971857,56.64,Completed,Branch
REM0000264,CUST00613,2024-01-07,Egypt,4910.15,33.28298,19.96,Completed,Mobile App
REM0000265,CUST00615,2025-10-01,Bangladesh,2103.17,31.061021,74.38,Completed,Partner
REM0000266,CUST00988,2025-03-30,Pakistan,5274.04,55.102378,58.66,Completed,Partner
REM0000267,CUST00681,2025-04-24,Philippines,895.56,80.945734,57.31,Completed,Partner
REM0000268,CUST00813,2026-07-27,Bangladesh,260.12,6.368984,27.25,Failed,Partner
REM0000269,CUST00173,2025-04-01,Bangladesh,237.19,74.612433,40.17,Failed,Mobile App
REM0000270,CUST00111,2026-01-28,Pakistan,6535.5,16.082943,48.85,Completed,Mobile App
REM0000271,CUST00818,2026-10-22,Sri Lanka,444.52,66.138284,47.45,Completed,Mobile App
REM0000272,CUST00949,2025-05-04,Egypt,2374.32,76.459289,68.8,Completed,Branch
REM0000273,CUST00973,2026-08-20,Egypt,3421.9,13.382442,61.72,Completed,Mobile App
REM0000274,CUST00089,2026-05-18,India,4113.88,73.121095,51.43,Completed,Branch
REM0000275,CUST00560,2024-04-09,Nepal,5312.45,80.394326,55.38,Completed,Branch
REM0000276,CUST00795,2024-03-23,Egypt,7681.1,68.463734,50.44,Completed,Mobile App
REM0000277,CUST00721,2024-04-29,Pakistan,4599.88,31.084475,50.42,Completed,Mobile App
REM0000278,CUST00640,2024-02-28,Bangladesh,1150.6,54.469138,43.58,Completed,Branch
REM0000279,CUST00208,2025-01-27,Pakistan,5246.03,18.211362,13.25,Completed,Partner
REM0000280,CUST00211,2024-06-19,Bangladesh,7059.94,24.959525,57.45,Failed,Mobile App
REM0000281,CUST00513,2025-04-11,Sri Lanka,5388.95,52.679115,42.29,Completed,Branch
REM0000282,CUST00971,2025-05-14,Philippines,443.27,33.767605,9.35,Completed,Partner
REM0000283,CUST00557,2024-05-21,Bangladesh,4813.36,51.502651,60.95,Failed,Partner
REM0000284,CUST00610,2024-07-26,India,5227.05,18.208343,17.82,Completed,Partner
REM0000285,CUST00755,2026-05-19,Sri Lanka,5758.59,35.411269,73.17,Completed,Mobile App
REM0000286,CUST00614,2024-10-19,Jordan,6194.95,57.029248,18.84,Completed,Partner
REM0000287,CUST00176,2024-05-12,India,1922.0,75.808051,48.97,Completed,Branch
REM0000288,CUST00254,2025-12-27,Jordan,1330.52,75.747286,42.99,Completed,Mobile App
REM0000289,CUST00458,2026-07-17,Philippines,4825.2,51.441363,46.63,Completed,Mobile App
REM0000290,CUST00471,2026-01-26,Nepal,3504.53,30.339229,54.52,Completed,Partner
REM0000291,CUST00223,2024-10-22,Sri Lanka,5318.36,16.247825,54.83,Completed,Partner
REM0000292,CUST00304,2025-03-28,Nepal,2308.48,60.192971,12.7,Failed,Partner
REM0000293,CUST00989,2026-01-02,Jordan,4909.07,12.759165,58.41,Completed,Partner
REM0000294,CUST00584,2026-10-23,Sri Lanka,7857.43,35.706184,18.76,Completed,Mobile App
REM0000295,CUST00619,2025-12-21,Nepal,6952.32,23.471909,52.41,Completed,Branch
