review_id,customer_id,review_date,review_type,previous_kyc_status,new_kyc_status,reviewer_name,review_decision,review_comments
REV000052,CUST00052,2024-08-03,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000053,CUST00053,2026-07-01,Initial Review,Expired,Pending,KYC Analyst 2,Pending,
REV000054,CUST00054,2025-12-30,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000055,CUST00055,2024-12-28,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000056,CUST00056,2024-09-22,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000057,CUST00057,2025-10-11,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000058,CUST00058,2024-07-28,Periodic Review,Pending,Expired,KYC Analyst 1,Rejected,
REV000059,CUST00059,2025-05-27,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000060,CUST00060,2025-04-21,Periodic Review,Pending,Pending,KYC Analyst 1,Escalated,
REV000061,CUST00061,2024-08-06,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000062,CUST00062,2024-03-30,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000063,CUST00063,2025-04-03,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000064,CUST00064,2025-08-19,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000065,CUST00065,2024-03-09,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000066,CUST00066,2024-04-02,Periodic Review,Approved,Expired,KYC Analyst 2,Escalated,
REV000067,CUST00067,2026-09-11,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000068,CUST00068,2026-08-11,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000069,CUST00069,2025-10-20,Initial Review,Expired,Pending,Compliance Officer,Escalated,
REV000070,CUST00070,2026-04-25,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000071,CUST00071,2026-08-27,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000072,CUST00072,2026-08-26,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000073,CUST00073,2024-08-16,Enhanced Review,Expired,Pending,KYC Analyst 1,Escalated,
REV000074,CUST00074,2024-12-16,Periodic Review,Pending,Rejected,Compliance Officer,Pending,
REV000075,CUST00075,2026-09-23,Enhanced Review,Pending,Pending,KYC Analyst 1,Rejected,
REV000076,CUST00076,2025-03-08,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000077,CUST00077,2025-12-08,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000078,CUST00078,2026-03-24,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000079,CUST00079,2025-12-03,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000080,CUST00080,2024-01-10,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000081,CUST00081,2026-06-27,Enhanced Review,Approved,Pending,KYC Analyst 1,Pending,
REV000082,CUST00082,2026-09-30,Periodic Review,Expired,Rejected,KYC Analyst 1,Rejected,
REV000083,CUST00083,2024-06-27,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000084,CUST00084,2025-12-06,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000085,CUST00085,2024-05-19,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000086,CUST00086,2025-07-08,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000087,CUST00087,2025-05-21,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000088,CUST00088,2024-08-23,Initial Review,Expired,Pending,Compliance Officer,Pending,
REV000089,CUST00089,2026-06-05,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000090,CUST00090,2025-09-11,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000091,CUST00091,2025-10-25,Enhanced Review,Approved,Pending,KYC Analyst 2,Rejected,
REV000092,CUST00092,2026-03-02,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000093,CUST00093,2026-03-22,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000094,CUST00094,2024-01-23,Initial Review,Expired,Expired,Compliance Officer,Pending,
REV000095,CUST00095,2025-11-20,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000096,CUST00096,2025-11-15,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000097,CUST00097,2026-10-18,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000098,CUST00098,2025-05-21,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000099,CUST00099,2024-11-08,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000100,CUST00100,2024-11-27,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000101,CUST00101,2025-05-15,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000102,CUST00102,2025-01-25,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000103,CUST00103,2025-10-09,Enhanced Review,Approved,Rejected,Compliance Officer,Pending,
REV000104,CUST00104,2025-06-27,Initial Review,Pending,Approved,Compliance Officer,Approved,
REV000105,CUST00105,2025-06-26,Initial Review,Expired,Rejected,KYC Analyst 2,Escalated,
REV000106,CUST00106,2025-07-19,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000107,CUST00107,2024-03-31,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000108,CUST00108,2025-11-21,Enhanced Review,Approved,Rejected,Compliance Officer,Pending,
REV000109,CUST00109,2026-08-17,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000110,CUST00110,2024-06-27,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000111,CUST00111,2024-11-28,Enhanced Review,Pending,Pending,KYC Analyst 1,Pending,
REV000112,CUST00112,2026-11-09,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000113,CUST00113,2024-11-23,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000114,CUST00114,2024-03-14,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000115,CUST00115,2026-12-18,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000116,CUST00116,2024-12-18,Enhanced Review,Pending,Expired,KYC Analyst 1,Rejected,
REV000117,CUST00117,2024-06-21,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000118,CUST00118,2024-09-07,Periodic Review,Approved,Pending,KYC Analyst 2,Pending,
REV000119,CUST00119,2026-07-21,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000120,CUST00120,2026-06-17,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000121,CUST00121,2026-07-19,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000122,CUST00122,2026-09-19,Enhanced Review,Approved,Rejected,Compliance Officer,Escalated,
REV000123,CUST00123,2026-09-28,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000124,CUST00124,2026-05-09,Initial Review,Approved,Approved,Compliance Officer,Approved,
REV000125,CUST00125,2026-09-02,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000126,CUST00126,2024-10-05,Enhanced Review,Pending,Pending,KYC Analyst 1,Pending,
REV000127,CUST00127,2024-10-07,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000128,CUST00128,2026-01-27,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000129,CUST00129,2026-03-22,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000130,CUST00130,2025-11-05,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000131,CUST00131,2024-10-30,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000132,CUST00132,2026-01-28,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000133,CUST00133,2026-07-18,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000134,CUST00134,2025-04-28,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000135,CUST00135,2024-12-31,Initial Review,Pending,Approved,Compliance Officer,Approved,
REV000136,CUST00136,2025-01-28,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000137,CUST00137,2025-02-06,Initial Review,Pending,Pending,Compliance Officer,Escalated,
REV000138,CUST00138,2025-03-06,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000139,CUST00139,2025-09-08,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000140,CUST00140,2024-01-20,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000141,CUST00141,2025-07-13,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000142,CUST00142,2025-08-14,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000143,CUST00143,2024-12-12,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000144,CUST00144,2024-09-30,Enhanced Review,Pending,Pending,KYC Analyst 2,Rejected,
REV000145,CUST00145,2026-09-18,Initial Review,Approved,Expired,KYC Analyst 1,Rejected,
REV000146,CUST00146,2025-06-21,Periodic Review,Approved,Pending,KYC Analyst 1,Pending,
REV000147,CUST00147,2024-02-13,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000148,CUST00148,2025-06-23,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000149,CUST00149,2026-02-24,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000150,CUST00150,2024-11-04,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000151,CUST00151,2025-09-21,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000152,CUST00152,2024-11-29,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000153,CUST00153,2026-03-03,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000154,CUST00154,2026-10-05,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000155,CUST00155,2025-05-27,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000156,CUST00156,2024-01-07,Enhanced Review,Expired,Pending,KYC Analyst 2,Rejected,
REV000157,CUST00157,2024-04-18,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000158,CUST00158,2025-11-18,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000159,CUST00159,2026-03-18,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000160,CUST00160,2026-10-31,Initial Review,Expired,Pending,KYC Analyst 2,Pending,
REV000161,CUST00161,2025-07-20,Periodic Review,Expired,Rejected,KYC Analyst 2,Pending,
REV000162,CUST00162,2025-10-21,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000163,CUST00163,2025-11-14,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000164,CUST00164,2024-01-24,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000165,CUST00165,2026-10-08,Periodic Review,Expired,Expired,KYC Analyst 1,Escalated,
REV000166,CUST00166,2025-10-02,Initial Review,Pending,Approved,Compliance Officer,Approved,
REV000167,CUST00167,2024-05-02,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000168,CUST00168,2024-10-15,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000169,CUST00169,2025-08-22,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000170,CUST00170,2026-09-11,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000171,CUST00171,2025-09-03,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000172,CUST00172,2025-09-02,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000173,CUST00173,2025-07-21,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000174,CUST00174,2025-04-01,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000175,CUST00175,2026-08-23,Periodic Review,Approved,Expired,Compliance Officer,Escalated,
REV000176,CUST00176,2024-06-17,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000177,CUST00177,2025-09-21,Periodic Review,Expired,Pending,KYC Analyst 1,Escalated,
REV000178,CUST00178,2024-01-25,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000179,CUST00179,2025-11-05,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000180,CUST00180,2026-02-02,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000181,CUST00181,2026-06-17,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000182,CUST00182,2024-06-02,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000183,CUST00183,2025-12-21,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000184,CUST00184,2024-08-19,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000185,CUST00185,2026-12-09,Periodic Review,Approved,Pending,Compliance Officer,Pending,
REV000186,CUST00186,2024-08-28,Periodic Review,Approved,Approved,KYC Analyst 2,Approved,
REV000187,CUST00187,2024-03-02,Initial Review,Approved,Approved,Compliance Officer,Approved,
REV000188,CUST00188,2026-10-30,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000189,CUST00189,2024-03-30,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000190,CUST00190,2024-11-13,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000191,CUST00191,2026-11-19,Initial Review,Pending,Expired,KYC Analyst 2,Pending,
REV000192,CUST00192,2024-02-01,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000193,CUST00193,2025-09-27,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000194,CUST00194,2026-07-09,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000195,CUST00195,2025-10-19,Initial Review,Pending,Approved,Compliance Officer,Approved,
REV000196,CUST00196,2024-05-10,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000197,CUST00197,2025-10-09,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000198,CUST00198,2025-09-02,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000199,CUST00199,2026-09-29,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000200,CUST00200,2025-10-08,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000201,CUST00201,2024-10-04,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000202,CUST00202,2024-03-10,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000203,CUST00203,2025-08-13,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000204,CUST00204,2026-10-09,Periodic Review,Expired,Rejected,Compliance Officer,Pending,
REV000205,CUST00205,2026-09-09,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000206,CUST00206,2026-11-03,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000207,CUST00207,2026-11-29,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000208,CUST00208,2026-07-25,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000209,CUST00209,2024-02-05,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000210,CUST00210,2026-01-14,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000211,CUST00211,2026-01-08,Enhanced Review,Pending,Approved,Compliance Officer,Approved,
REV000212,CUST00212,2024-11-30,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000213,CUST00213,2026-12-27,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000214,CUST00214,2024-08-07,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000215,CUST00215,2025-12-05,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000216,CUST00216,2026-04-27,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000217,CUST00217,2024-06-15,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000218,CUST00218,2025-02-03,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000219,CUST00219,2026-01-18,Enhanced Review,Pending,Pending,KYC Analyst 1,Escalated,
REV000220,CUST00220,2026-02-28,Enhanced Review,Pending,Approved,Compliance Officer,Approved,
REV000221,CUST00221,2024-01-04,Periodic Review,Approved,Approved,KYC Analyst 1,Approved,
REV000222,CUST00222,2026-03-27,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000223,CUST00223,2025-07-18,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000224,CUST00224,2024-07-09,Periodic Review,Expired,Approved,KYC Analyst 1,Approved,
REV000225,CUST00225,2026-10-27,Periodic Review,Expired,Pending,KYC Analyst 2,Rejected,
REV000226,CUST00226,2026-07-11,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000227,CUST00227,2026-04-22,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000228,CUST00228,2026-01-14,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000229,CUST00229,2024-05-16,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000230,CUST00230,2024-10-11,Initial Review,Pending,Expired,KYC Analyst 2,Pending,
REV000231,CUST00231,2025-10-11,Enhanced Review,Pending,Expired,KYC Analyst 2,Escalated,
REV000232,CUST00232,2024-02-21,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000233,CUST00233,2024-08-14,Initial Review,Expired,Approved,KYC Analyst 2,Approved,
REV000234,CUST00234,2024-09-21,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000235,CUST00235,2024-03-08,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000236,CUST00236,2024-07-29,Initial Review,Approved,Pending,KYC Analyst 1,Rejected,
REV000237,CUST00237,2026-01-10,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000238,CUST00238,2024-03-31,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000239,CUST00239,2026-03-15,Initial Review,Pending,Approved,Compliance Officer,Approved,
REV000240,CUST00240,2024-11-26,Periodic Review,Pending,Approved,Compliance Officer,Approved,
REV000241,CUST00241,2024-12-08,Enhanced Review,Pending,Approved,KYC Analyst 1,Approved,
REV000242,CUST00242,2024-08-03,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000243,CUST00243,2025-10-27,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000244,CUST00244,2024-06-23,Periodic Review,Pending,Expired,Compliance Officer,Pending,
REV000245,CUST00245,2024-10-05,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000246,CUST00246,2026-02-10,Initial Review,Pending,Approved,KYC Analyst 2,Approved,
REV000247,CUST00247,2024-09-17,Periodic Review,Expired,Expired,KYC Analyst 2,Escalated,
REV000248,CUST00248,2024-01-10,Periodic Review,Pending,Expired,KYC Analyst 1,Escalated,
REV000249,CUST00249,2024-08-12,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000250,CUST00250,2024-01-29,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000251,CUST00251,2026-11-21,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000252,CUST00252,2025-12-17,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000253,CUST00253,2024-03-20,Initial Review,Expired,Approved,Compliance Officer,Approved,
REV000254,CUST00254,2025-03-08,Periodic Review,Expired,Pending,KYC Analyst 1,Pending,
REV000255,CUST00255,2026-11-09,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000256,CUST00256,2025-07-21,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000257,CUST00257,2026-02-26,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000258,CUST00258,2026-06-25,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000259,CUST00259,2026-07-18,Enhanced Review,Pending,Approved,KYC Analyst 2,Approved,
REV000260,CUST00260,2024-05-24,Initial Review,Approved,Approved,Compliance Officer,Approved,
REV000261,CUST00261,2024-06-11,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000262,CUST00262,2025-06-12,Periodic Review,Approved,Approved,KYC Analyst 2,Approved,
REV000263,CUST00263,2025-03-19,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000264,CUST00264,2025-04-02,Enhanced Review,Expired,Approved,Compliance Officer,Approved,
REV000265,CUST00265,2024-06-13,Enhanced Review,Expired,Pending,KYC Analyst 1,Pending,
REV000266,CUST00266,2026-06-20,Enhanced Review,Expired,Expired,KYC Analyst 2,Escalated,
REV000267,CUST00267,2024-11-02,Periodic Review,Approved,Approved,Compliance Officer,Approved,
REV000268,CUST00268,2025-09-12,Enhanced Review,Approved,Approved,KYC Analyst 1,Approved,
REV000269,CUST00269,2026-03-17,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000270,CUST00270,2025-04-01,Periodic Review,Approved,Approved,KYC Analyst 2,Approved,
REV000271,CUST00271,2025-08-29,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000272,CUST00272,2025-11-06,Initial Review,Approved,Approved,KYC Analyst 1,Approved,
REV000273,CUST00273,2025-12-09,Periodic Review,Pending,Approved,KYC Analyst 2,Approved,
REV000274,CUST00274,2025-02-07,Initial Review,Pending,Pending,KYC Analyst 2,Rejected,
REV000275,CUST00275,2024-08-22,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000276,CUST00276,2026-08-15,Initial Review,Expired,Approved,KYC Analyst 1,Approved,
REV000277,CUST00277,2026-11-26,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000278,CUST00278,2026-07-11,Initial Review,Approved,Approved,KYC Analyst 2,Approved,
REV000279,CUST00279,2025-09-04,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000280,CUST00280,2026-09-19,Periodic Review,Pending,Approved,KYC Analyst 1,Approved,
REV000281,CUST00281,2025-05-27,Initial Review,Pending,Approved,KYC Analyst 1,Approved,
REV000282,CUST00282,2025-11-10,Enhanced Review,Expired,Pending,Compliance Officer,Rejected,
REV000283,CUST00283,2024-03-01,Enhanced Review,Expired,Approved,KYC Analyst 2,Approved,
REV000284,CUST00284,2024-02-01,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000285,CUST00285,2024-11-02,Periodic Review,Expired,Approved,KYC Analyst 2,Approved,
REV000286,CUST00286,2024-07-16,Enhanced Review,Expired,Approved,KYC Analyst 1,Approved,
REV000287,CUST00287,2026-02-15,Enhanced Review,Approved,Approved,KYC Analyst 2,Approved,
REV000288,CUST00288,2025-01-31,Periodic Review,Expired,Approved,Compliance Officer,Approved,
REV000289,CUST00289,2026-01-11,Initial Review,Expired,Pending,KYC Analyst 2,Pending,
REV000290,CUST00290,2024-10-26,Enhanced Review,Approved,Approved,Compliance Officer,Approved,
REV000291,CUST00291,2024-01-15,Initial Review,Expired,Pending,Compliance Officer,Rejected,
