employment_id,customer_id,employment_status,employer_name,job_title,industry,monthly_income,salary_transfer_bank,length_of_employment_months,source_of_funds,source_of_wealth,monthly_liabilities
EMP000040,CUST00040,Employed,Emirates Trading,Driver,Education,32546.73,Dubai Islamic Bank,75,Salary,Employment Income,11184.05
EMP000041,CUST00041,Employed,Prime Group,Technician,Banking,43701.03,Mashreq,151,Salary,Employment Income,7373.24
EMP000042,CUST00042,Employed,Metro Services,Accountant,Construction,8439.19,FAB,48,Salary,Employment Income,1758.54
EMP000043,CUST00043,Employed,Al Noor Group,Sales Executive,Real Estate,34744.92,Emirates NBD,39,Salary,Employment Income,11754.12
EMP000044,CUST00044,Employed,Global Trading,Driver,Education,39103.95,Dubai Islamic Bank,132,Salary,Employment Income,2467.88
EMP000045,CUST00045,Employed,Emirates Services,Nurse,Technology,6046.05,FAB,66,Salary,Employment Income,844.68
EMP000046,CUST00046,Employed,Gulf Group,Technician,Hospitality,35322.07,ADIB,80,Salary,Employment Income,4500.14
EMP000047,CUST00047,Employed,Metro Holdings,Nurse,Retail,6170.34,Mashreq,70,Salary,Employment Income,884.3
EMP000048,CUST00048,Student,,Student,Education,1165.02,,0,Family Support,Family Support,150.7
EMP000049,CUST00049,Employed,Global Group,Technician,Banking,22959.31,Emirates NBD,50,Salary,Employment Income,4279.7
EMP000050,CUST00050,Employed,Metro Services,Teacher,Real Estate,29518.36,ADIB,123,Salary,Employment Income,2568.51
EMP000051,CUST00051,Employed,Al Noor LLC,Business Owner,Retail,38720.84,Mashreq,99,Salary,Employment Income,11308.5
EMP000052,CUST00052,Employed,Gulf LLC,Teacher,Real Estate,18538.84,ADCB,10,Salary,Employment Income,6588.51
EMP000053,CUST00053,Employed,Al Noor Group,Software Developer,Retail,6345.42,Mashreq,158,Salary,Employment Income,2269.32
EMP000054,CUST00054,Employed,Gulf LLC,Software Developer,Healthcare,33416.45,Mashreq,76,Salary,Employment Income,10273.33
EMP000055,CUST00055,Employed,Al Noor Group,Accountant,Technology,28688.48,FAB,164,Salary,Employment Income,4831.32
EMP000056,CUST00056,Unemployed,,Unemployed,,1064.83,,0,Business Income,Employment Income,182.38
EMP000057,CUST00057,Student,,Student,Education,2843.04,,0,Family Support,Family Support,12.2
EMP000058,CUST00058,Employed,Prime Group,Accountant,Real Estate,42560.38,FAB,103,Salary,Employment Income,5191.12
EMP000059,CUST00059,Employed,Global Group,Manager,Construction,26057.37,ADIB,49,Salary,Employment Income,5994.93
EMP000060,CUST00060,Employed,Prime Trading,Engineer,Technology,37569.8,ADIB,19,Salary,Employment Income,3701.09
EMP000061,CUST00061,Employed,Gulf Trading,Accountant,Real Estate,39290.38,ADCB,114,Salary,Employment Income,15141.53
EMP000062,CUST00062,Employed,Al Noor Holdings,Accountant,Government,6788.13,Emirates NBD,170,Salary,Employment Income,1608.39
EMP000063,CUST00063,Employed,Emirates LLC,Manager,Construction,12048.49,Dubai Islamic Bank,9,Salary,Employment Income,2263.79
EMP000064,CUST00064,Self-Employed,Self-Employed,Business Owner,Government,49104.61,Mashreq,125,Business Income,Business Ownership,23102.55
EMP000065,CUST00065,Student,,Student,Education,4924.47,,0,Family Support,Family Support,83.35
EMP000066,CUST00066,Employed,Global LLC,Business Owner,Construction,23029.98,Emirates NBD,29,Salary,Employment Income,6339.4
EMP000067,CUST00067,Employed,Global Holdings,Manager,Education,30897.56,Mashreq,10,Salary,Employment Income,13460.71
EMP000068,CUST00068,Employed,Metro Group,Manager,Real Estate,30065.34,ADIB,31,Salary,Employment Income,13415.02
EMP000069,CUST00069,Self-Employed,Self-Employed,Business Owner,Hospitality,16405.67,Emirates NBD,58,Business Income,Business Ownership,4360.26
EMP000070,CUST00070,Employed,Metro LLC,Nurse,Government,42025.7,ADIB,159,Salary,Employment Income,5038.18
EMP000071,CUST00071,Employed,Gulf LLC,Technician,Education,24335.55,ADIB,137,Salary,Employment Income,5266.85
EMP000072,CUST00072,Employed,Gulf Holdings,Engineer,Retail,18887.35,Mashreq,130,Salary,Employment Income,2924.82
EMP000073,CUST00073,Employed,Prime LLC,Software Developer,Healthcare,44195.48,FAB,160,Salary,Employment Income,18624.11
EMP000074,CUST00074,Employed,Global Holdings,Nurse,Healthcare,42750.06,Dubai Islamic Bank,63,Salary,Employment Income,8513.14
EMP000075,CUST00075,Employed,Gulf Services,Driver,Construction,28200.44,Emirates NBD,23,Salary,Employment Income,8309.36
EMP000076,CUST00076,Employed,Al Noor LLC,Software Developer,Retail,19578.61,ADCB,100,Salary,Employment Income,7321.27
EMP000077,CUST00077,Employed,Prime Holdings,Software Developer,Healthcare,7650.91,ADCB,97,Salary,Employment Income,1113.9
EMP000078,CUST00078,Employed,Emirates Holdings,Technician,Government,29711.66,ADCB,13,Salary,Employment Income,5299.81
EMP000079,CUST00079,Employed,Global LLC,Driver,Healthcare,9436.79,ADCB,87,Salary,Employment Income,3654.31
EMP000080,CUST00080,Employed,Gulf Services,Software Developer,Education,32271.38,Dubai Islamic Bank,128,Salary,Employment Income,4886.93
EMP000081,CUST00081,Employed,Metro Services,Manager,Real Estate,8663.19,ADIB,153,Salary,Employment Income,1115.71
EMP000082,CUST00082,Self-Employed,Self-Employed,Business Owner,Healthcare,14699.89,Dubai Islamic Bank,48,Business Income,Business Ownership,6766.21
EMP000083,CUST00083,Employed,Prime LLC,Business Owner,Technology,13062.16,FAB,5,Salary,Employment Income,4797.55
EMP000084,CUST00084,Employed,Global LLC,Driver,Banking,15353.02,FAB,86,Salary,Employment Income,6696.6
EMP000085,CUST00085,Employed,Prime Holdings,Sales Executive,Logistics,24292.89,FAB,55,Salary,Employment Income,1935.31
EMP000086,CUST00086,Employed,Al Noor Group,Teacher,Hospitality,16351.99,ADCB,131,Salary,Employment Income,6867.79
EMP000087,CUST00087,Employed,Prime Group,Accountant,Real Estate,32287.3,ADCB,120,Salary,Employment Income,3653.9
EMP000088,CUST00088,Employed,Global Services,Manager,Real Estate,25138.34,ADIB,98,Salary,Employment Income,5788.93
EMP000089,CUST00089,Employed,Metro Group,Teacher,Healthcare,21125.92,Dubai Islamic Bank,28,Salary,Employment Income,4495.06
EMP000090,CUST00090,Employed,Prime Trading,Business Owner,Government,37898.13,FAB,86,Salary,Employment Income,2146.14
EMP000091,CUST00091,Employed,Metro Group,Nurse,Retail,15163.32,Emirates NBD,20,Salary,Employment Income,853.04
EMP000092,CUST00092,Employed,Global Holdings,Technician,Education,23958.17,Dubai Islamic Bank,52,Salary,Employment Income,4540.63
EMP000093,CUST00093,Self-Employed,Self-Employed,Business Owner,Banking,16465.98,Emirates NBD,223,Business Income,Business Ownership,5533.51
EMP000094,CUST00094,Employed,Global Holdings,Manager,Real Estate,26373.6,Dubai Islamic Bank,167,Salary,Employment Income,2517.35
EMP000095,CUST00095,Unemployed,,Unemployed,,2287.98,,0,Business Income,Employment Income,307.71
EMP000096,CUST00096,Unemployed,,Unemployed,,630.41,,0,Investment Income,Savings,19.05
EMP000097,CUST00097,Employed,Emirates Group,Technician,Hospitality,24478.86,Mashreq,16,Salary,Employment Income,7520.16
EMP000098,CUST00098,Student,,Student,Education,5185.58,,0,Family Support,Family Support,296.92
EMP000099,CUST00099,Student,,Student,Education,4435.58,,0,Family Support,Family Support,340.96
EMP000100,CUST00100,Employed,Al Noor Group,Manager,Construction,42573.11,Emirates NBD,48,Salary,Employment Income,18502.5
EMP000101,CUST00101,Self-Employed,Self-Employed,Business Owner,Education,28526.0,Mashreq,165,Business Income,Business Ownership,11956.33
EMP000102,CUST00102,Employed,Metro Group,Accountant,Logistics,31208.07,Emirates NBD,116,Salary,Employment Income,4632.78
EMP000103,CUST00103,Employed,Prime Trading,Software Developer,Hospitality,15323.99,FAB,123,Salary,Employment Income,4966.08
EMP000104,CUST00104,Self-Employed,Self-Employed,Business Owner,Banking,10190.09,ADCB,152,Business Income,Business Ownership,3428.66
EMP000105,CUST00105,Unemployed,,Unemployed,,154.41,,0,Investment Income,Savings,18.12
EMP000106,CUST00106,Employed,Global Trading,Engineer,Banking,7056.9,ADCB,45,Salary,Employment Income,1174.45
EMP000107,CUST00107,Employed,Gulf LLC,Business Owner,Banking,17856.11,Dubai Islamic Bank,89,Salary,Employment Income,4007.79
EMP000108,CUST00108,Employed,Global Group,Nurse,Retail,7521.65,ADCB,58,Salary,Employment Income,2404.25
EMP000109,CUST00109,Employed,Gulf Services,Business Owner,Hospitality,18745.91,Dubai Islamic Bank,20,Salary,Employment Income,3402.3
EMP000110,CUST00110,Employed,Al Noor Holdings,Sales Executive,Logistics,35119.73,ADIB,159,Salary,Employment Income,3145.38
EMP000111,CUST00111,Employed,Emirates Holdings,Accountant,Hospitality,23411.2,ADCB,80,Salary,Employment Income,6720.41
EMP000112,CUST00112,Employed,Gulf Trading,Nurse,Construction,37392.04,Dubai Islamic Bank,152,Salary,Employment Income,15487.61
EMP000113,CUST00113,Employed,Gulf Group,Accountant,Retail,8629.02,ADCB,134,Salary,Employment Income,3750.09
EMP000114,CUST00114,Employed,Metro Holdings,Teacher,Real Estate,20267.63,Emirates NBD,75,Salary,Employment Income,7942.65
EMP000115,CUST00115,Employed,Gulf Services,Accountant,Retail,10307.29,Mashreq,80,Salary,Employment Income,4184.88
EMP000116,CUST00116,Employed,Metro Group,Nurse,Technology,29390.47,Dubai Islamic Bank,131,Salary,Employment Income,7506.21
EMP000117,CUST00117,Employed,Metro Group,Business Owner,Retail,20533.07,ADIB,141,Salary,Employment Income,2232.98
EMP000118,CUST00118,Employed,Gulf Services,Manager,Logistics,36770.89,ADIB,86,Salary,Employment Income,15803.01
EMP000119,CUST00119,Unemployed,,Unemployed,,2739.42,,0,Investment Income,Employment Income,570.22
EMP000120,CUST00120,Employed,Al Noor Services,Engineer,Retail,44841.91,Dubai Islamic Bank,170,Salary,Employment Income,2698.34
EMP000121,CUST00121,Employed,Metro Group,Engineer,Healthcare,11818.21,Emirates NBD,94,Salary,Employment Income,2494.31
EMP000122,CUST00122,Student,,Student,Education,4837.51,,0,Family Support,Family Support,858.38
EMP000123,CUST00123,Employed,Al Noor Trading,Engineer,Construction,11504.26,ADIB,67,Salary,Employment Income,2390.75
EMP000124,CUST00124,Student,,Student,Education,3383.07,,0,Family Support,Family Support,55.26
EMP000125,CUST00125,Employed,Gulf Services,Driver,Healthcare,35994.69,FAB,43,Salary,Employment Income,5280.3
EMP000126,CUST00126,Employed,Prime LLC,Manager,Banking,36793.5,FAB,37,Salary,Employment Income,10950.92
EMP000127,CUST00127,Self-Employed,Self-Employed,Business Owner,Real Estate,48064.21,Dubai Islamic Bank,132,Business Income,Business Ownership,18644.41
EMP000128,CUST00128,Student,,Student,Education,3133.03,,0,Family Support,Family Support,247.6
EMP000129,CUST00129,Employed,Metro LLC,Technician,Construction,6124.17,Emirates NBD,13,Salary,Employment Income,1405.67
EMP000130,CUST00130,Employed,Global Trading,Accountant,Healthcare,36533.16,ADCB,12,Salary,Employment Income,14722.42
EMP000131,CUST00131,Employed,Global Holdings,Technician,Construction,6994.75,FAB,121,Salary,Employment Income,2600.16
EMP000132,CUST00132,Employed,Prime Group,Nurse,Retail,15336.88,Mashreq,173,Salary,Employment Income,6832.81
EMP000133,CUST00133,Employed,Emirates LLC,Manager,Healthcare,12502.08,Dubai Islamic Bank,144,Salary,Employment Income,2220.68
EMP000134,CUST00134,Employed,Gulf Holdings,Engineer,Government,26777.59,Dubai Islamic Bank,51,Salary,Employment Income,11062.74
EMP000135,CUST00135,Employed,Global Services,Technician,Government,43780.1,ADIB,112,Salary,Employment Income,11224.74
EMP000136,CUST00136,Employed,Gulf Group,Engineer,Healthcare,44335.75,FAB,119,Salary,Employment Income,15930.24
EMP000137,CUST00137,Employed,Metro Group,Software Developer,Healthcare,25363.64,Emirates NBD,23,Salary,Employment Income,8628.38
EMP000138,CUST00138,Employed,Global Trading,Teacher,Hospitality,28320.0,ADCB,82,Salary,Employment Income,9426.13
EMP000139,CUST00139,Employed,Prime Trading,Technician,Logistics,18193.42,FAB,4,Salary,Employment Income,6172.77
EMP000140,CUST00140,Employed,Al Noor Holdings,Nurse,Real Estate,35747.39,Dubai Islamic Bank,159,Salary,Employment Income,13117.41
EMP000141,CUST00141,Employed,Prime LLC,Business Owner,Technology,36071.76,ADIB,109,Salary,Employment Income,3610.72
EMP000142,CUST00142,Employed,Gulf Group,Software Developer,Hospitality,26420.2,Emirates NBD,159,Salary,Employment Income,9576.18
EMP000143,CUST00143,Employed,Al Noor Group,Engineer,Construction,15458.42,FAB,152,Salary,Employment Income,2830.81
EMP000144,CUST00144,Employed,Emirates Trading,Driver,Real Estate,37502.4,Emirates NBD,92,Salary,Employment Income,6287.58
EMP000145,CUST00145,Employed,Global Group,Sales Executive,Retail,12534.93,Emirates NBD,155,Salary,Employment Income,2686.09
EMP000146,CUST00146,Employed,Emirates LLC,Teacher,Technology,8397.44,FAB,157,Salary,Employment Income,452.85
EMP000147,CUST00147,Student,,Student,Education,4669.87,,0,Family Support,Family Support,235.18
EMP000148,CUST00148,Employed,Emirates Services,Teacher,Education,24361.73,ADCB,110,Salary,Employment Income,9658.67
EMP000149,CUST00149,Employed,Prime Trading,Teacher,Construction,24595.46,ADCB,165,Salary,Employment Income,9351.55
EMP000150,CUST00150,Employed,Prime Trading,Business Owner,Real Estate,25154.13,ADIB,148,Salary,Employment Income,8805.12
EMP000151,CUST00151,Employed,Global LLC,Driver,Construction,39289.5,Emirates NBD,21,Salary,Employment Income,16158.32
EMP000152,CUST00152,Employed,Metro LLC,Teacher,Logistics,17004.12,ADCB,21,Salary,Employment Income,1446.57
EMP000153,CUST00153,Employed,Emirates Trading,Accountant,Government,43112.83,Dubai Islamic Bank,106,Salary,Employment Income,4948.9
EMP000154,CUST00154,Employed,Global Group,Software Developer,Education,37472.86,ADIB,9,Salary,Employment Income,2274.62
EMP000155,CUST00155,Self-Employed,Self-Employed,Business Owner,Government,40550.47,Emirates NBD,68,Business Income,Business Ownership,16919.4
EMP000156,CUST00156,Employed,Global Trading,Accountant,Banking,43025.24,ADCB,20,Salary,Employment Income,10770.08
EMP000157,CUST00157,Employed,Gulf Holdings,Sales Executive,Logistics,32963.3,Emirates NBD,37,Salary,Employment Income,8475.47
EMP000158,CUST00158,Unemployed,,Unemployed,,188.04,,0,Family Support,Investments,36.19
EMP000159,CUST00159,Employed,Gulf Group,Software Developer,Real Estate,11532.39,Dubai Islamic Bank,125,Salary,Employment Income,4552.43
EMP000160,CUST00160,Student,,Student,Education,2048.12,,0,Family Support,Family Support,52.58
EMP000161,CUST00161,Employed,Al Noor LLC,Nurse,Healthcare,11696.02,ADIB,55,Salary,Employment Income,2020.08
EMP000162,CUST00162,Employed,Al Noor Trading,Accountant,Banking,5778.9,FAB,104,Salary,Employment Income,293.44
EMP000163,CUST00163,Employed,Emirates Trading,Teacher,Hospitality,15984.13,FAB,88,Salary,Employment Income,6937.39
EMP000164,CUST00164,Employed,Gulf LLC,Engineer,Construction,16441.92,ADIB,62,Salary,Employment Income,4747.08
EMP000165,CUST00165,Employed,Global LLC,Engineer,Retail,34955.84,Mashreq,99,Salary,Employment Income,12862.5
EMP000166,CUST00166,Employed,Metro Holdings,Software Developer,Government,25432.12,Mashreq,144,Salary,Employment Income,10490.48
EMP000167,CUST00167,Self-Employed,Self-Employed,Business Owner,Logistics,37939.71,ADIB,118,Business Income,Business Ownership,19463.87
EMP000168,CUST00168,Student,,Student,Education,2088.69,,0,Family Support,Family Support,200.67
EMP000169,CUST00169,Employed,Emirates Holdings,Business Owner,Retail,9280.5,Dubai Islamic Bank,149,Salary,Employment Income,1292.61
EMP000170,CUST00170,Employed,Emirates Trading,Nurse,Government,30070.3,Mashreq,60,Salary,Employment Income,1970.63
EMP000171,CUST00171,Employed,Al Noor Group,Business Owner,Technology,28064.08,Dubai Islamic Bank,24,Salary,Employment Income,8645.99
EMP000172,CUST00172,Self-Employed,Self-Employed,Business Owner,Healthcare,59182.85,FAB,35,Business Income,Business Ownership,20261.13
EMP000173,CUST00173,Student,,Student,Education,1153.11,,0,Family Support,Family Support,221.82
EMP000174,CUST00174,Employed,Al Noor Trading,Teacher,Retail,20512.33,FAB,127,Salary,Employment Income,7629.42
EMP000175,CUST00175,Employed,Metro Trading,Business Owner,Hospitality,29412.47,ADCB,172,Salary,Employment Income,6074.24
EMP000176,CUST00176,Employed,Al Noor Group,Software Developer,Healthcare,18829.58,ADCB,152,Salary,Employment Income,2317.55
EMP000177,CUST00177,Employed,Al Noor Trading,Manager,Healthcare,27105.17,Dubai Islamic Bank,83,Salary,Employment Income,10543.26
EMP000178,CUST00178,Student,,Student,Education,1042.17,,0,Family Support,Family Support,203.67
EMP000179,CUST00179,Self-Employed,Self-Employed,Business Owner,Retail,67702.64,FAB,56,Business Income,Business Ownership,20743.17
EMP000180,CUST00180,Employed,Global Group,Driver,Hospitality,11622.37,ADIB,89,Salary,Employment Income,4094.61
EMP000181,CUST00181,Employed,Gulf LLC,Business Owner,Real Estate,14946.18,ADIB,108,Salary,Employment Income,3473.69
EMP000182,CUST00182,Employed,Metro Holdings,Software Developer,Construction,24636.75,ADIB,37,Salary,Employment Income,10839.72
EMP000183,CUST00183,Self-Employed,Self-Employed,Business Owner,Banking,55024.02,ADIB,15,Business Income,Business Ownership,16781.74
EMP000184,CUST00184,Employed,Al Noor Trading,Software Developer,Education,31309.45,Mashreq,20,Salary,Employment Income,13928.53
EMP000185,CUST00185,Self-Employed,Self-Employed,Business Owner,Retail,25587.85,ADIB,119,Business Income,Business Ownership,6785.32
EMP000186,CUST00186,Employed,Al Noor Trading,Accountant,Education,32406.87,Dubai Islamic Bank,112,Salary,Employment Income,6920.23
EMP000187,CUST00187,Employed,Al Noor Services,Manager,Construction,21155.98,FAB,79,Salary,Employment Income,8028.49
EMP000188,CUST00188,Unemployed,,Unemployed,,177.88,,0,Investment Income,Investments,25.08
EMP000189,CUST00189,Employed,Gulf Holdings,Technician,Logistics,4642.54,Emirates NBD,62,Salary,Employment Income,681.87
EMP000190,CUST00190,Employed,Global Group,Nurse,Healthcare,35838.88,Emirates NBD,121,Salary,Employment Income,5293.75
EMP000191,CUST00191,Employed,Prime Holdings,Software Developer,Real Estate,19424.53,Mashreq,171,Salary,Employment Income,7903.0
EMP000192,CUST00192,Employed,Gulf Services,Accountant,Education,37245.87,ADCB,134,Salary,Employment Income,16501.59
EMP000193,CUST00193,Self-Employed,Self-Employed,Business Owner,Real Estate,34865.56,ADIB,134,Business Income,Business Ownership,18132.69
EMP000194,CUST00194,Employed,Metro Services,Nurse,Logistics,14705.99,Emirates NBD,75,Salary,Employment Income,5765.18
EMP000195,CUST00195,Employed,Global Services,Accountant,Retail,42092.74,Dubai Islamic Bank,112,Salary,Employment Income,15032.22
EMP000196,CUST00196,Employed,Gulf Group,Driver,Technology,9571.87,FAB,27,Salary,Employment Income,2431.66
EMP000197,CUST00197,Employed,Metro Trading,Technician,Banking,23012.37,Emirates NBD,65,Salary,Employment Income,3647.25
EMP000198,CUST00198,Student,,Student,Education,3301.47,,0,Family Support,Family Support,130.61
EMP000199,CUST00199,Self-Employed,Self-Employed,Business Owner,Technology,29308.28,ADIB,126,Business Income,Business Ownership,6834.93
EMP000200,CUST00200,Unemployed,,Unemployed,,2381.84,,0,Investment Income,Business Ownership,271.49
EMP000201,CUST00201,Employed,Global Services,Teacher,Retail,39888.91,Emirates NBD,89,Salary,Employment Income,6108.34
EMP000202,CUST00202,Employed,Gulf Services,Accountant,Technology,8655.25,Emirates NBD,128,Salary,Employment Income,787.49
EMP000203,CUST00203,Self-Employed,Self-Employed,Business Owner,Healthcare,47925.76,Emirates NBD,206,Business Income,Business Ownership,5505.32
EMP000204,CUST00204,Student,,Student,Education,1882.68,,0,Family Support,Family Support,368.17
EMP000205,CUST00205,Employed,Prime LLC,Teacher,Hospitality,10721.96,ADCB,146,Salary,Employment Income,1674.83
EMP000206,CUST00206,Employed,Gulf Trading,Manager,Retail,35773.15,ADIB,83,Salary,Employment Income,11348.32
EMP000207,CUST00207,Employed,Al Noor Group,Engineer,Technology,33332.33,ADIB,24,Salary,Employment Income,8785.58
EMP000208,CUST00208,Student,,Student,Education,2647.25,,0,Family Support,Family Support,111.0
EMP000209,CUST00209,Self-Employed,Self-Employed,Business Owner,Hospitality,69795.87,Dubai Islamic Bank,45,Business Income,Business Ownership,19589.2
EMP000210,CUST00210,Employed,Al Noor Trading,Business Owner,Retail,30287.38,FAB,159,Salary,Employment Income,8547.46
EMP000211,CUST00211,Student,,Student,Education,2554.72,,0,Family Support,Family Support,16.04
EMP000212,CUST00212,Self-Employed,Self-Employed,Business Owner,Hospitality,15414.68,Dubai Islamic Bank,100,Business Income,Business Ownership,5656.0
EMP000213,CUST00213,Self-Employed,Self-Employed,Business Owner,Healthcare,39204.09,ADIB,194,Business Income,Business Ownership,20379.38
EMP000214,CUST00214,Employed,Metro Holdings,Accountant,Hospitality,30438.42,Emirates NBD,129,Salary,Employment Income,5371.19
EMP000215,CUST00215,Student,,Student,Education,4580.36,,0,Family Support,Family Support,465.8
EMP000216,CUST00216,Employed,Global LLC,Teacher,Hospitality,40183.31,FAB,78,Salary,Employment Income,16669.14
EMP000217,CUST00217,Employed,Global LLC,Technician,Logistics,15500.45,Mashreq,67,Salary,Employment Income,2543.77
EMP000218,CUST00218,Student,,Student,Education,3827.47,,0,Family Support,Family Support,202.51
EMP000219,CUST00219,Employed,Prime Group,Accountant,Banking,5390.88,Mashreq,5,Salary,Employment Income,1103.04
EMP000220,CUST00220,Employed,Emirates LLC,Nurse,Government,24952.4,Mashreq,35,Salary,Employment Income,10832.16
EMP000221,CUST00221,Employed,Al Noor Services,Technician,Logistics,18930.33,Dubai Islamic Bank,61,Salary,Employment Income,6891.83
EMP000222,CUST00222,Self-Employed,Self-Employed,Business Owner,Education,42435.74,ADIB,211,Business Income,Business Ownership,11497.01
EMP000223,CUST00223,Employed,Gulf Group,Accountant,Logistics,9728.26,ADCB,95,Salary,Employment Income,1472.01
EMP000224,CUST00224,Unemployed,,Unemployed,,2193.42,,0,Family Support,Savings,60.92
EMP000225,CUST00225,Employed,Metro Services,Engineer,Education,27513.69,Mashreq,10,Salary,Employment Income,6222.06
EMP000226,CUST00226,Employed,Al Noor Trading,Technician,Education,43040.17,ADCB,34,Salary,Employment Income,13955.99
EMP000227,CUST00227,Self-Employed,Self-Employed,Business Owner,Hospitality,20709.22,Emirates NBD,172,Business Income,Business Ownership,9761.38
EMP000228,CUST00228,Self-Employed,Self-Employed,Business Owner,Real Estate,68647.35,FAB,69,Business Income,Business Ownership,27685.06
EMP000229,CUST00229,Employed,Al Noor Group,Engineer,Logistics,42311.3,Dubai Islamic Bank,149,Salary,Employment Income,8165.87
EMP000230,CUST00230,Employed,Gulf LLC,Software Developer,Education,13954.71,Dubai Islamic Bank,109,Salary,Employment Income,4749.67
