document_verification_id,document_id,customer_id,verification_date,verification_provider,document_authenticity_status,name_match_status,date_of_birth_match_status,expiry_check_status,verification_score,verification_status
DV000029,DOC000029,CUST00015,2026-07-29,Internal KYC Engine,Authentic,Matched,Matched,Expired,85.72,Verified
DV000030,DOC000030,CUST00015,2024-05-05,Persona,Authentic,Matched,Matched,Valid,83.68,Verified
DV000031,DOC000031,CUST00016,2024-11-02,Persona,Authentic,Matched,Matched,Valid,93.23,Verified
DV000032,DOC000032,CUST00016,2025-09-22,Internal KYC Engine,Authentic,Matched,Matched,Valid,95.79,Verified
DV000033,DOC000033,CUST00017,2024-05-22,Onfido,Authentic,Matched,Matched,Expired,97.12,Verified
DV000034,DOC000034,CUST00017,2024-03-06,Onfido,Authentic,Matched,Matched,Valid,94.74,Verified
DV000035,DOC000035,CUST00018,2026-05-13,Onfido,Authentic,Matched,Matched,Valid,92.86,Verified
DV000036,DOC000036,CUST00018,2024-01-12,Manual Review,Authentic,Matched,Matched,Valid,87.12,Verified
DV000037,DOC000037,CUST00019,2025-05-12,Onfido,Authentic,Matched,Matched,Valid,90.21,Verified
DV000038,DOC000038,CUST00019,2024-08-26,Onfido,Authentic,Matched,Matched,Valid,83.03,Verified
DV000039,DOC000039,CUST00020,2024-10-05,Onfido,Under Review,Review Required,Review Required,Review Required,62.88,Pending
DV000040,DOC000040,CUST00020,2025-11-16,Manual Review,Authentic,Matched,Matched,Valid,85.63,Verified
DV000041,DOC000041,CUST00021,2026-07-12,Internal KYC Engine,Authentic,Matched,Matched,Expired,86.68,Verified
DV000042,DOC000042,CUST00021,2025-01-16,Onfido,Authentic,Matched,Matched,Valid,97.14,Verified
DV000043,DOC000043,CUST00022,2026-05-17,Internal KYC Engine,Authentic,Matched,Matched,Expired,83.42,Verified
DV000044,DOC000044,CUST00022,2024-04-05,Persona,Authentic,Matched,Matched,Valid,83.35,Verified
DV000045,DOC000045,CUST00023,2025-05-07,Manual Review,Authentic,Matched,Matched,Valid,99.07,Verified
DV000046,DOC000046,CUST00023,2025-01-01,Onfido,Authentic,Matched,Matched,Expired,93.42,Verified
DV000047,DOC000047,CUST00024,2024-10-16,Manual Review,Authentic,Matched,Matched,Valid,97.69,Verified
DV000048,DOC000048,CUST00024,2026-12-02,Persona,Authentic,Matched,Matched,Valid,87.4,Verified
DV000049,DOC000049,CUST00025,2026-08-04,Manual Review,Authentic,Matched,Matched,Valid,81.55,Verified
DV000050,DOC000050,CUST00025,2024-09-15,Onfido,Authentic,Matched,Matched,Valid,97.8,Verified
DV000051,DOC000051,CUST00026,2025-12-06,Persona,Under Review,Review Required,Matched,Review Required,52.63,Pending
DV000052,DOC000052,CUST00026,2024-12-10,Onfido,Suspicious,Mismatch,Mismatch,Expired,26.83,Rejected
DV000053,DOC000053,CUST00027,2024-12-16,Onfido,Authentic,Matched,Matched,Valid,92.94,Verified
DV000054,DOC000054,CUST00027,2026-12-10,Onfido,Authentic,Matched,Matched,Valid,87.05,Verified
DV000055,DOC000055,CUST00028,2026-09-28,Onfido,Authentic,Matched,Matched,Expired,90.45,Verified
DV000056,DOC000056,CUST00028,2024-07-12,Manual Review,Authentic,Matched,Matched,Valid,93.73,Verified
DV000057,DOC000057,CUST00029,2024-08-17,Manual Review,Authentic,Matched,Matched,Expired,82.13,Verified
DV000058,DOC000058,CUST00029,2026-01-30,Internal KYC Engine,Authentic,Matched,Matched,Valid,84.23,Verified
DV000059,DOC000059,CUST00030,2024-06-16,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.0,Verified
DV000060,DOC000060,CUST00030,2026-08-07,Manual Review,Authentic,Matched,Matched,Expired,91.38,Verified
DV000061,DOC000061,CUST00031,2024-07-11,Manual Review,Authentic,Matched,Matched,Valid,83.35,Verified
DV000062,DOC000062,CUST00031,2024-04-01,Onfido,Authentic,Matched,Matched,Valid,91.12,Verified
DV000063,DOC000063,CUST00032,2025-11-26,Persona,Authentic,Matched,Matched,Expired,95.01,Verified
DV000064,DOC000064,CUST00032,2025-03-18,Onfido,Authentic,Matched,Matched,Valid,89.58,Verified
DV000065,DOC000065,CUST00033,2025-07-19,Internal KYC Engine,Rejected,Mismatch,Review Required,Expired,41.34,Rejected
DV000066,DOC000066,CUST00033,2025-09-28,Onfido,Authentic,Matched,Matched,Valid,99.23,Verified
DV000067,DOC000067,CUST00034,2026-09-03,Persona,Under Review,Matched,Matched,Review Required,54.88,Pending
DV000068,DOC000068,CUST00034,2024-12-29,Persona,Authentic,Matched,Matched,Valid,80.02,Verified
DV000069,DOC000069,CUST00035,2024-09-18,Persona,Authentic,Matched,Matched,Expired,92.3,Verified
DV000070,DOC000070,CUST00035,2024-11-14,Onfido,Authentic,Matched,Matched,Valid,82.71,Verified
DV000071,DOC000071,CUST00036,2025-07-22,Internal KYC Engine,Authentic,Matched,Matched,Expired,85.04,Verified
DV000072,DOC000072,CUST00036,2025-07-24,Persona,Authentic,Matched,Matched,Valid,89.75,Verified
DV000073,DOC000073,CUST00037,2026-12-10,Onfido,Authentic,Matched,Matched,Expired,94.62,Verified
DV000074,DOC000074,CUST00037,2026-01-07,Persona,Authentic,Matched,Matched,Valid,81.32,Verified
DV000075,DOC000075,CUST00038,2024-01-27,Persona,Under Review,Matched,Matched,Review Required,71.34,Pending
DV000076,DOC000076,CUST00038,2025-03-01,Onfido,Authentic,Matched,Matched,Valid,80.72,Verified
DV000077,DOC000077,CUST00039,2024-11-01,Persona,Authentic,Matched,Matched,Valid,85.54,Verified
DV000078,DOC000078,CUST00039,2026-10-16,Internal KYC Engine,Under Review,Matched,Matched,Review Required,70.79,Pending
DV000079,DOC000079,CUST00040,2024-09-17,Onfido,Authentic,Matched,Matched,Expired,97.01,Verified
DV000080,DOC000080,CUST00040,2025-02-01,Onfido,Authentic,Matched,Matched,Valid,84.87,Verified
DV000081,DOC000081,CUST00041,2024-09-24,Onfido,Authentic,Matched,Matched,Expired,97.97,Verified
DV000082,DOC000082,CUST00041,2024-04-06,Manual Review,Authentic,Matched,Matched,Expired,88.36,Verified
DV000083,DOC000083,CUST00042,2025-02-07,Onfido,Authentic,Matched,Matched,Valid,85.07,Verified
DV000084,DOC000084,CUST00042,2024-04-27,Internal KYC Engine,Authentic,Matched,Matched,Valid,93.64,Verified
DV000085,DOC000085,CUST00043,2025-04-17,Manual Review,Authentic,Matched,Matched,Expired,94.3,Verified
DV000086,DOC000086,CUST00043,2025-12-29,Manual Review,Authentic,Matched,Matched,Valid,89.14,Verified
DV000087,DOC000087,CUST00044,2024-07-15,Persona,Authentic,Matched,Matched,Expired,98.06,Verified
DV000088,DOC000088,CUST00044,2024-05-25,Onfido,Authentic,Matched,Matched,Valid,82.64,Verified
DV000089,DOC000089,CUST00045,2024-07-02,Manual Review,Authentic,Matched,Matched,Expired,93.04,Verified
DV000090,DOC000090,CUST00045,2024-05-31,Manual Review,Authentic,Matched,Matched,Valid,93.65,Verified
DV000091,DOC000091,CUST00046,2024-03-24,Persona,Authentic,Matched,Matched,Expired,85.97,Verified
DV000092,DOC000092,CUST00046,2026-12-23,Persona,Authentic,Matched,Matched,Valid,91.64,Verified
DV000093,DOC000093,CUST00047,2024-02-29,Internal KYC Engine,Authentic,Matched,Matched,Valid,82.39,Verified
DV000094,DOC000094,CUST00047,2025-07-19,Onfido,Authentic,Matched,Matched,Valid,84.96,Verified
DV000095,DOC000095,CUST00048,2026-03-13,Persona,Authentic,Matched,Matched,Valid,92.4,Verified
DV000096,DOC000096,CUST00048,2024-06-15,Persona,Authentic,Matched,Matched,Valid,83.02,Verified
DV000097,DOC000097,CUST00049,2026-05-09,Manual Review,Authentic,Matched,Matched,Expired,98.78,Verified
DV000098,DOC000098,CUST00049,2026-01-24,Manual Review,Under Review,Matched,Matched,Review Required,60.64,Pending
DV000099,DOC000099,CUST00050,2026-03-16,Manual Review,Authentic,Matched,Matched,Valid,96.83,Verified
DV000100,DOC000100,CUST00050,2024-03-24,Manual Review,Authentic,Matched,Matched,Valid,99.08,Verified
DV000101,DOC000101,CUST00051,2026-03-17,Persona,Authentic,Matched,Matched,Valid,84.68,Verified
DV000102,DOC000102,CUST00051,2026-11-14,Manual Review,Authentic,Matched,Matched,Valid,81.68,Verified
DV000103,DOC000103,CUST00052,2025-08-10,Internal KYC Engine,Under Review,Review Required,Review Required,Review Required,51.75,Pending
DV000104,DOC000104,CUST00052,2024-03-15,Manual Review,Authentic,Matched,Matched,Valid,86.01,Verified
DV000105,DOC000105,CUST00053,2026-03-12,Persona,Authentic,Matched,Matched,Valid,99.31,Verified
DV000106,DOC000106,CUST00053,2025-01-21,Persona,Authentic,Matched,Matched,Valid,93.7,Verified
DV000107,DOC000107,CUST00054,2025-12-05,Onfido,Authentic,Matched,Matched,Valid,91.35,Verified
DV000108,DOC000108,CUST00054,2026-02-10,Persona,Authentic,Matched,Matched,Valid,86.05,Verified
DV000109,DOC000109,CUST00055,2024-09-22,Persona,Authentic,Matched,Matched,Expired,89.07,Verified
DV000110,DOC000110,CUST00055,2026-06-07,Onfido,Authentic,Matched,Matched,Valid,87.71,Verified
DV000111,DOC000111,CUST00056,2024-10-27,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.77,Verified
DV000112,DOC000112,CUST00056,2026-04-21,Persona,Authentic,Matched,Matched,Valid,84.33,Verified
DV000113,DOC000113,CUST00057,2025-12-04,Internal KYC Engine,Authentic,Matched,Matched,Valid,98.39,Verified
DV000114,DOC000114,CUST00057,2024-11-05,Onfido,Authentic,Matched,Matched,Expired,85.33,Verified
DV000115,DOC000115,CUST00058,2026-11-17,Onfido,Authentic,Matched,Matched,Expired,93.58,Verified
DV000116,DOC000116,CUST00058,2026-10-06,Onfido,Authentic,Matched,Matched,Valid,90.68,Verified
DV000117,DOC000117,CUST00059,2026-04-14,Persona,Authentic,Matched,Matched,Expired,94.8,Verified
DV000118,DOC000118,CUST00059,2025-09-29,Onfido,Authentic,Matched,Matched,Valid,92.79,Verified
DV000119,DOC000119,CUST00060,2025-11-24,Persona,Under Review,Review Required,Review Required,Review Required,56.4,Pending
DV000120,DOC000120,CUST00060,2025-07-30,Manual Review,Authentic,Matched,Matched,Valid,97.75,Verified
DV000121,DOC000121,CUST00061,2025-01-17,Internal KYC Engine,Authentic,Matched,Matched,Expired,99.48,Verified
DV000122,DOC000122,CUST00061,2026-01-16,Persona,Authentic,Matched,Matched,Valid,93.33,Verified
DV000123,DOC000123,CUST00062,2025-06-17,Persona,Authentic,Matched,Matched,Expired,84.5,Verified
DV000124,DOC000124,CUST00062,2024-03-12,Persona,Authentic,Matched,Matched,Expired,98.99,Verified
DV000125,DOC000125,CUST00063,2026-01-19,Manual Review,Authentic,Matched,Matched,Expired,81.55,Verified
DV000126,DOC000126,CUST00063,2026-02-04,Internal KYC Engine,Authentic,Matched,Matched,Valid,88.11,Verified
DV000127,DOC000127,CUST00064,2026-08-14,Manual Review,Authentic,Matched,Matched,Valid,87.4,Verified
DV000128,DOC000128,CUST00064,2025-07-04,Manual Review,Authentic,Matched,Matched,Valid,98.32,Verified
DV000129,DOC000129,CUST00065,2026-07-17,Manual Review,Authentic,Matched,Matched,Valid,86.62,Verified
DV000130,DOC000130,CUST00065,2025-07-03,Internal KYC Engine,Authentic,Matched,Matched,Valid,91.74,Verified
DV000131,DOC000131,CUST00066,2026-01-08,Persona,Authentic,Matched,Matched,Expired,98.94,Verified
DV000132,DOC000132,CUST00066,2025-07-08,Manual Review,Under Review,Review Required,Review Required,Review Required,66.37,Pending
DV000133,DOC000133,CUST00067,2026-10-26,Manual Review,Authentic,Matched,Matched,Expired,87.73,Verified
DV000134,DOC000134,CUST00067,2024-05-10,Manual Review,Authentic,Matched,Matched,Valid,99.25,Verified
DV000135,DOC000135,CUST00068,2025-07-28,Persona,Authentic,Matched,Matched,Valid,84.17,Verified
DV000136,DOC000136,CUST00068,2025-12-03,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.58,Verified
DV000137,DOC000137,CUST00069,2024-01-17,Internal KYC Engine,Authentic,Matched,Matched,Valid,87.4,Verified
DV000138,DOC000138,CUST00069,2025-09-19,Onfido,Authentic,Matched,Matched,Valid,98.51,Verified
DV000139,DOC000139,CUST00070,2025-01-14,Manual Review,Authentic,Matched,Matched,Expired,96.3,Verified
DV000140,DOC000140,CUST00070,2025-10-23,Internal KYC Engine,Authentic,Matched,Matched,Valid,91.92,Verified
DV000141,DOC000141,CUST00071,2026-03-24,Internal KYC Engine,Authentic,Matched,Matched,Expired,91.51,Verified
DV000142,DOC000142,CUST00071,2025-01-07,Onfido,Authentic,Matched,Matched,Valid,96.88,Verified
DV000143,DOC000143,CUST00072,2025-05-05,Onfido,Authentic,Matched,Matched,Expired,97.07,Verified
DV000144,DOC000144,CUST00072,2025-07-19,Persona,Authentic,Matched,Matched,Valid,89.06,Verified
DV000145,DOC000145,CUST00073,2024-08-31,Internal KYC Engine,Authentic,Matched,Matched,Expired,84.79,Verified
DV000146,DOC000146,CUST00073,2024-09-07,Internal KYC Engine,Authentic,Matched,Matched,Valid,83.63,Verified
DV000147,DOC000147,CUST00074,2025-06-26,Persona,Authentic,Matched,Matched,Valid,81.05,Verified
DV000148,DOC000148,CUST00074,2024-11-18,Manual Review,Authentic,Matched,Matched,Valid,84.96,Verified
DV000149,DOC000149,CUST00075,2025-09-08,Internal KYC Engine,Authentic,Matched,Matched,Valid,96.33,Verified
DV000150,DOC000150,CUST00075,2025-03-13,Onfido,Authentic,Matched,Matched,Valid,97.72,Verified
DV000151,DOC000151,CUST00076,2026-04-25,Persona,Authentic,Matched,Matched,Valid,89.06,Verified
DV000152,DOC000152,CUST00076,2026-07-26,Persona,Authentic,Matched,Matched,Valid,93.16,Verified
DV000153,DOC000153,CUST00077,2024-02-07,Onfido,Authentic,Matched,Matched,Expired,82.08,Verified
DV000154,DOC000154,CUST00077,2024-09-06,Manual Review,Authentic,Matched,Matched,Valid,90.68,Verified
DV000155,DOC000155,CUST00078,2025-12-30,Persona,Authentic,Matched,Matched,Expired,98.8,Verified
DV000156,DOC000156,CUST00078,2024-09-03,Onfido,Authentic,Matched,Matched,Valid,82.84,Verified
DV000157,DOC000157,CUST00079,2026-07-03,Onfido,Authentic,Matched,Matched,Expired,87.37,Verified
DV000158,DOC000158,CUST00079,2025-07-29,Internal KYC Engine,Authentic,Matched,Matched,Valid,98.32,Verified
DV000159,DOC000159,CUST00080,2026-01-12,Internal KYC Engine,Authentic,Matched,Matched,Expired,83.13,Verified
DV000160,DOC000160,CUST00080,2024-12-26,Manual Review,Authentic,Matched,Matched,Valid,94.78,Verified
DV000161,DOC000161,CUST00081,2026-11-01,Manual Review,Authentic,Matched,Matched,Expired,97.78,Verified
DV000162,DOC000162,CUST00081,2026-10-17,Onfido,Authentic,Matched,Matched,Valid,85.2,Verified
DV000163,DOC000163,CUST00082,2025-02-01,Persona,Authentic,Matched,Matched,Expired,82.25,Verified
DV000164,DOC000164,CUST00082,2024-02-21,Manual Review,Authentic,Matched,Matched,Valid,97.39,Verified
DV000165,DOC000165,CUST00083,2026-06-29,Manual Review,Under Review,Review Required,Matched,Review Required,56.45,Pending
DV000166,DOC000166,CUST00083,2026-05-30,Manual Review,Authentic,Matched,Matched,Expired,89.06,Verified
DV000167,DOC000167,CUST00084,2026-04-12,Persona,Authentic,Matched,Matched,Expired,93.64,Verified
DV000168,DOC000168,CUST00084,2024-01-07,Onfido,Authentic,Matched,Matched,Valid,83.9,Verified
DV000169,DOC000169,CUST00085,2024-05-06,Onfido,Authentic,Matched,Matched,Valid,85.57,Verified
DV000170,DOC000170,CUST00085,2026-01-01,Persona,Authentic,Matched,Matched,Valid,98.5,Verified
DV000171,DOC000171,CUST00086,2024-05-08,Onfido,Authentic,Matched,Matched,Valid,96.27,Verified
DV000172,DOC000172,CUST00086,2024-04-03,Onfido,Under Review,Review Required,Review Required,Review Required,68.82,Pending
DV000173,DOC000173,CUST00087,2024-11-07,Manual Review,Authentic,Matched,Matched,Expired,80.51,Verified
DV000174,DOC000174,CUST00087,2024-12-30,Persona,Authentic,Matched,Matched,Valid,97.13,Verified
DV000175,DOC000175,CUST00088,2025-01-16,Internal KYC Engine,Authentic,Matched,Matched,Expired,81.31,Verified
DV000176,DOC000176,CUST00088,2025-02-03,Onfido,Authentic,Matched,Matched,Valid,89.26,Verified
DV000177,DOC000177,CUST00089,2025-09-08,Persona,Authentic,Matched,Matched,Valid,88.51,Verified
DV000178,DOC000178,CUST00089,2026-12-19,Onfido,Under Review,Matched,Matched,Review Required,72.13,Pending
DV000179,DOC000179,CUST00090,2024-12-02,Onfido,Authentic,Matched,Matched,Valid,89.89,Verified
DV000180,DOC000180,CUST00090,2025-02-09,Manual Review,Authentic,Matched,Matched,Valid,83.97,Verified
DV000181,DOC000181,CUST00091,2025-12-19,Persona,Authentic,Matched,Matched,Expired,92.45,Verified
DV000182,DOC000182,CUST00091,2026-03-11,Persona,Authentic,Matched,Matched,Valid,90.36,Verified
DV000183,DOC000183,CUST00092,2024-02-24,Persona,Authentic,Matched,Matched,Expired,98.13,Verified
DV000184,DOC000184,CUST00092,2026-09-19,Persona,Authentic,Matched,Matched,Valid,91.51,Verified
DV000185,DOC000185,CUST00093,2026-02-03,Internal KYC Engine,Authentic,Matched,Matched,Valid,86.88,Verified
DV000186,DOC000186,CUST00093,2025-03-12,Persona,Authentic,Matched,Matched,Valid,96.54,Verified
DV000187,DOC000187,CUST00094,2024-11-04,Manual Review,Authentic,Matched,Matched,Expired,82.97,Verified
DV000188,DOC000188,CUST00094,2025-01-24,Persona,Authentic,Matched,Matched,Valid,84.54,Verified
DV000189,DOC000189,CUST00095,2026-01-14,Manual Review,Authentic,Matched,Matched,Expired,80.03,Verified
DV000190,DOC000190,CUST00095,2025-03-30,Internal KYC Engine,Authentic,Matched,Matched,Valid,93.82,Verified
DV000191,DOC000191,CUST00096,2025-04-09,Manual Review,Authentic,Matched,Matched,Expired,84.51,Verified
DV000192,DOC000192,CUST00096,2026-11-04,Internal KYC Engine,Authentic,Matched,Matched,Expired,88.54,Verified
DV000193,DOC000193,CUST00097,2026-08-19,Manual Review,Authentic,Matched,Matched,Expired,99.44,Verified
DV000194,DOC000194,CUST00097,2024-04-10,Manual Review,Authentic,Matched,Matched,Valid,81.83,Verified
DV000195,DOC000195,CUST00098,2025-01-18,Manual Review,Authentic,Matched,Matched,Expired,80.91,Verified
DV000196,DOC000196,CUST00098,2024-09-04,Persona,Authentic,Matched,Matched,Valid,92.14,Verified
DV000197,DOC000197,CUST00099,2025-02-13,Manual Review,Authentic,Matched,Matched,Expired,96.6,Verified
DV000198,DOC000198,CUST00099,2024-01-29,Manual Review,Authentic,Matched,Matched,Valid,80.77,Verified
DV000199,DOC000199,CUST00100,2026-03-22,Onfido,Authentic,Matched,Matched,Valid,82.49,Verified
DV000200,DOC000200,CUST00100,2025-03-31,Persona,Authentic,Matched,Matched,Valid,87.08,Verified
DV000201,DOC000201,CUST00101,2026-10-06,Manual Review,Authentic,Matched,Matched,Expired,94.12,Verified
DV000202,DOC000202,CUST00101,2025-06-20,Internal KYC Engine,Authentic,Matched,Matched,Valid,98.46,Verified
DV000203,DOC000203,CUST00102,2026-09-06,Persona,Authentic,Matched,Matched,Expired,95.59,Verified
DV000204,DOC000204,CUST00102,2024-09-25,Persona,Under Review,Review Required,Review Required,Review Required,71.86,Pending
DV000205,DOC000205,CUST00103,2025-03-19,Persona,Authentic,Matched,Matched,Valid,84.2,Verified
DV000206,DOC000206,CUST00103,2024-11-26,Onfido,Authentic,Matched,Matched,Valid,82.83,Verified
DV000207,DOC000207,CUST00104,2025-08-21,Internal KYC Engine,Authentic,Matched,Matched,Valid,92.69,Verified
DV000208,DOC000208,CUST00104,2024-11-11,Persona,Under Review,Matched,Review Required,Review Required,66.25,Pending
DV000209,DOC000209,CUST00105,2025-12-25,Manual Review,Authentic,Matched,Matched,Expired,83.57,Verified
DV000210,DOC000210,CUST00105,2025-01-09,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.14,Verified
DV000211,DOC000211,CUST00106,2024-04-10,Manual Review,Authentic,Matched,Matched,Valid,84.22,Verified
DV000212,DOC000212,CUST00106,2026-09-07,Persona,Authentic,Matched,Matched,Valid,84.84,Verified
DV000213,DOC000213,CUST00107,2024-08-22,Onfido,Authentic,Matched,Matched,Expired,81.33,Verified
DV000214,DOC000214,CUST00107,2026-10-04,Internal KYC Engine,Under Review,Review Required,Review Required,Review Required,69.83,Pending
DV000215,DOC000215,CUST00108,2025-04-28,Onfido,Authentic,Matched,Matched,Expired,82.09,Verified
DV000216,DOC000216,CUST00108,2025-10-07,Persona,Authentic,Matched,Matched,Valid,89.71,Verified
DV000217,DOC000217,CUST00109,2025-09-16,Onfido,Authentic,Matched,Matched,Valid,97.14,Verified
DV000218,DOC000218,CUST00109,2025-10-25,Persona,Authentic,Matched,Matched,Valid,93.06,Verified
DV000219,DOC000219,CUST00110,2024-05-26,Persona,Authentic,Matched,Matched,Expired,80.27,Verified
DV000220,DOC000220,CUST00110,2024-12-23,Manual Review,Authentic,Matched,Matched,Valid,95.5,Verified
DV000221,DOC000221,CUST00111,2026-11-07,Internal KYC Engine,Authentic,Matched,Matched,Expired,93.22,Verified
DV000222,DOC000222,CUST00111,2025-04-14,Manual Review,Authentic,Matched,Matched,Valid,93.28,Verified
DV000223,DOC000223,CUST00112,2026-03-01,Onfido,Authentic,Matched,Matched,Valid,93.14,Verified
DV000224,DOC000224,CUST00112,2025-07-20,Manual Review,Authentic,Matched,Matched,Valid,86.28,Verified
DV000225,DOC000225,CUST00113,2024-12-22,Onfido,Suspicious,Review Required,Review Required,Review Required,32.18,Rejected
DV000226,DOC000226,CUST00113,2026-05-26,Internal KYC Engine,Authentic,Matched,Matched,Valid,87.37,Verified
DV000227,DOC000227,CUST00114,2025-12-01,Internal KYC Engine,Authentic,Matched,Matched,Valid,81.44,Verified
DV000228,DOC000228,CUST00114,2024-02-04,Onfido,Authentic,Matched,Matched,Valid,88.57,Verified
DV000229,DOC000229,CUST00115,2026-02-08,Persona,Authentic,Matched,Matched,Expired,91.52,Verified
DV000230,DOC000230,CUST00115,2026-07-12,Manual Review,Authentic,Matched,Matched,Expired,91.82,Verified
DV000231,DOC000231,CUST00116,2025-01-13,Onfido,Authentic,Matched,Matched,Valid,87.16,Verified
DV000232,DOC000232,CUST00116,2024-02-07,Internal KYC Engine,Under Review,Review Required,Matched,Review Required,73.52,Pending
DV000233,DOC000233,CUST00117,2024-11-20,Onfido,Authentic,Matched,Matched,Expired,83.37,Verified
DV000234,DOC000234,CUST00117,2026-10-13,Onfido,Authentic,Matched,Matched,Valid,81.42,Verified
DV000235,DOC000235,CUST00118,2024-07-02,Persona,Authentic,Matched,Matched,Valid,82.72,Verified
DV000236,DOC000236,CUST00118,2025-02-17,Persona,Authentic,Matched,Matched,Valid,86.15,Verified
DV000237,DOC000237,CUST00119,2026-05-30,Manual Review,Authentic,Matched,Matched,Expired,95.04,Verified
DV000238,DOC000238,CUST00119,2026-07-18,Manual Review,Authentic,Matched,Matched,Valid,89.26,Verified
DV000239,DOC000239,CUST00120,2026-12-07,Manual Review,Authentic,Matched,Matched,Valid,80.73,Verified
DV000240,DOC000240,CUST00120,2026-10-01,Manual Review,Under Review,Matched,Matched,Review Required,54.78,Pending
DV000241,DOC000241,CUST00121,2025-01-14,Persona,Authentic,Matched,Matched,Expired,84.63,Verified
DV000242,DOC000242,CUST00121,2026-03-08,Onfido,Authentic,Matched,Matched,Valid,88.76,Verified
DV000243,DOC000243,CUST00122,2025-11-25,Manual Review,Authentic,Matched,Matched,Expired,89.21,Verified
DV000244,DOC000244,CUST00122,2026-05-10,Internal KYC Engine,Authentic,Matched,Matched,Valid,92.97,Verified
DV000245,DOC000245,CUST00123,2025-03-01,Internal KYC Engine,Authentic,Matched,Matched,Valid,84.74,Verified
DV000246,DOC000246,CUST00123,2026-02-21,Internal KYC Engine,Under Review,Matched,Matched,Review Required,67.48,Pending
DV000247,DOC000247,CUST00124,2024-03-04,Internal KYC Engine,Authentic,Matched,Matched,Expired,86.18,Verified
DV000248,DOC000248,CUST00124,2024-09-04,Onfido,Suspicious,Mismatch,Mismatch,Expired,11.78,Rejected
DV000249,DOC000249,CUST00125,2024-02-18,Internal KYC Engine,Authentic,Matched,Matched,Expired,87.04,Verified
DV000250,DOC000250,CUST00125,2026-02-13,Internal KYC Engine,Authentic,Matched,Matched,Valid,89.73,Verified
