application_id,customer_id,product_type,application_date,application_channel,application_status,requested_amount,approved_amount,approved_limit,rejection_reason,decision_date
APP000064,CUST00028,Remittance,2024-02-06,Web,Approved,,,,,2024-02-20
APP000065,CUST00029,Loan,2025-04-17,Web,Approved,127486.37,86751.99,,,2025-04-30
APP000066,CUST00029,Loan,2024-08-17,Mobile App,Approved,45926.11,32037.44,,,2024-08-25
APP000067,CUST00029,Wallet,2025-11-04,Mobile App,Approved,,,,,2025-11-17
APP000068,CUST00029,Remittance,2024-12-17,Agent,Approved,,,,,2024-12-26
APP000069,CUST00030,Card,2024-05-15,Branch,Submitted,62328.3,,,,2024-05-27
APP000070,CUST00031,Loan,2025-07-30,Agent,Approved,103398.57,86986.85,,,2025-08-06
APP000071,CUST00031,Loan,2025-04-11,Web,Approved,24128.15,18337.86,,,2025-04-20
APP000072,CUST00031,Remittance,2024-04-04,Agent,Approved,,,,,2024-04-18
APP000073,CUST00031,Remittance,2024-01-08,Web,Approved,,,,,2024-01-21
APP000074,CUST00032,Account,2026-03-12,Web,Approved,,,,,2026-03-25
APP000075,CUST00033,Account,2025-11-19,Mobile App,Approved,,,,,2025-11-22
APP000076,CUST00033,Remittance,2025-08-19,Agent,Approved,,,,,2025-09-01
APP000077,CUST00034,Loan,2026-07-19,Web,Rejected,143356.28,,,Insufficient income,2026-07-29
APP000078,CUST00035,Loan,2024-05-05,Mobile App,Pending,66376.31,,,,2024-05-15
APP000079,CUST00035,Loan,2026-03-04,Agent,Approved,30397.44,19970.12,,,2026-03-16
APP000080,CUST00035,Loan,2025-12-15,Agent,Approved,122266.78,87957.47,,,2025-12-23
APP000081,CUST00035,Card,2024-02-19,Agent,Rejected,53219.83,,,High debt burden ratio,2024-02-27
APP000082,CUST00036,Loan,2024-07-26,Branch,Approved,23232.63,17645.48,,,2024-08-08
APP000083,CUST00036,Card,2026-04-18,Mobile App,Approved,10350.63,,5180.01,,2026-04-19
APP000084,CUST00037,Account,2026-12-22,Web,Rejected,,,,,2026-12-25
APP000085,CUST00037,Card,2024-06-05,Branch,Approved,75124.49,,30220.83,,2024-06-16
APP000086,CUST00037,Loan,2025-03-28,Mobile App,Approved,13915.25,11152.3,,,2025-04-05
APP000087,CUST00037,Loan,2024-10-17,Agent,Approved,145230.38,120459.61,,,2024-10-25
APP000088,CUST00038,Wallet,2024-04-08,Agent,Approved,,,,,2024-04-19
APP000089,CUST00039,Remittance,2026-04-23,Mobile App,Approved,,,,,2026-05-06
APP000090,CUST00040,Remittance,2026-07-07,Agent,Approved,,,,,2026-07-12
APP000091,CUST00041,Account,2024-12-01,Agent,Approved,,,,,2024-12-15
APP000092,CUST00041,Wallet,2026-03-05,Web,Approved,,,,,2026-03-19
APP000093,CUST00041,Account,2024-03-24,Web,Approved,,,,,2024-04-03
APP000094,CUST00042,Account,2026-02-23,Agent,Approved,,,,,2026-03-08
APP000095,CUST00042,Loan,2026-07-16,Branch,Approved,36908.52,27683.82,,,2026-07-20
APP000096,CUST00043,Card,2026-04-05,Branch,Submitted,119189.73,,,,2026-04-13
APP000097,CUST00044,Remittance,2024-01-19,Mobile App,Approved,,,,,2024-01-24
APP000098,CUST00044,Card,2026-11-11,Agent,Approved,76574.53,,24920.63,,2026-11-13
APP000099,CUST00045,Card,2024-09-25,Agent,Submitted,147880.77,,,,2024-10-06
APP000100,CUST00045,Account,2024-01-25,Agent,Rejected,,,,,2024-02-02
APP000101,CUST00046,Account,2024-12-22,Mobile App,Approved,,,,,2025-01-03
APP000102,CUST00047,Remittance,2024-03-23,Mobile App,Approved,,,,,2024-04-01
APP000103,CUST00047,Card,2024-02-23,Branch,Approved,136152.64,,53067.97,,2024-02-28
APP000104,CUST00048,Loan,2024-06-19,Branch,Rejected,63745.01,,,Low credit score,2024-06-27
APP000105,CUST00048,Account,2026-06-05,Agent,Approved,,,,,2026-06-08
APP000106,CUST00048,Remittance,2026-10-16,Web,Rejected,,,,,2026-10-21
APP000107,CUST00049,Account,2025-02-15,Web,Approved,,,,,2025-02-25
APP000108,CUST00049,Card,2026-12-05,Agent,Approved,94526.38,,62002.86,,2026-12-08
APP000109,CUST00050,Wallet,2026-07-21,Branch,Approved,,,,,2026-07-26
APP000110,CUST00050,Loan,2026-06-29,Branch,Rejected,46584.07,,,KYC not approved,2026-07-03
APP000111,CUST00050,Account,2025-06-20,Agent,Rejected,,,,,2025-07-01
APP000112,CUST00051,Remittance,2025-09-06,Web,Approved,,,,,2025-09-07
APP000113,CUST00052,Loan,2025-11-01,Branch,Approved,89317.45,68340.38,,,2025-11-13
APP000114,CUST00052,Loan,2024-08-14,Agent,Approved,126617.64,79908.8,,,2024-08-21
APP000115,CUST00053,Loan,2025-04-20,Mobile App,Rejected,19831.52,,,Low credit score,2025-04-21
APP000116,CUST00053,Loan,2026-08-22,Web,Approved,59315.57,51451.52,,,2026-08-23
APP000117,CUST00054,Wallet,2025-05-26,Branch,Approved,,,,,2025-06-02
APP000118,CUST00055,Card,2026-11-13,Mobile App,Approved,39490.89,,18157.41,,2026-11-16
APP000119,CUST00055,Account,2025-09-28,Branch,Pending,,,,,2025-10-03
APP000120,CUST00055,Loan,2025-01-15,Web,Approved,18965.62,16999.33,,,2025-01-16
APP000121,CUST00056,Wallet,2025-06-01,Agent,Pending,,,,,2025-06-05
APP000122,CUST00056,Remittance,2025-06-18,Branch,Approved,,,,,2025-06-24
APP000123,CUST00057,Loan,2025-10-16,Branch,Approved,93176.92,64116.61,,,2025-10-21
APP000124,CUST00058,Account,2024-12-27,Agent,Approved,,,,,2025-01-05
APP000125,CUST00059,Loan,2024-11-08,Web,Pending,110209.64,,,,2024-11-20
APP000126,CUST00059,Wallet,2025-08-10,Mobile App,Approved,,,,,2025-08-24
APP000127,CUST00060,Remittance,2025-04-29,Branch,Approved,,,,,2025-05-08
APP000128,CUST00060,Account,2025-08-16,Mobile App,Approved,,,,,2025-08-26
APP000129,CUST00061,Account,2024-08-20,Web,Approved,,,,,2024-08-23
APP000130,CUST00061,Loan,2024-05-26,Agent,Pending,47585.21,,,,2024-05-27
APP000131,CUST00062,Wallet,2025-04-02,Agent,Approved,,,,,2025-04-07
APP000132,CUST00063,Account,2024-04-20,Agent,Approved,,,,,2024-04-27
APP000133,CUST00063,Account,2025-10-05,Web,Approved,,,,,2025-10-06
APP000134,CUST00064,Card,2026-08-01,Web,Approved,74140.0,,51443.82,,2026-08-07
APP000135,CUST00064,Account,2026-10-20,Branch,Approved,,,,,2026-11-01
APP000136,CUST00065,Remittance,2025-01-04,Agent,Rejected,,,,,2025-01-14
APP000137,CUST00066,Wallet,2025-04-15,Agent,Approved,,,,,2025-04-23
APP000138,CUST00066,Card,2025-04-20,Mobile App,Rejected,3471.76,,,Low credit score,2025-04-25
APP000139,CUST00067,Card,2024-12-03,Branch,Approved,135432.36,,87592.39,,2024-12-15
APP000140,CUST00068,Wallet,2024-01-17,Web,Approved,,,,,2024-01-30
APP000141,CUST00068,Card,2024-10-15,Branch,Rejected,7933.01,,,Insufficient income,2024-10-22
APP000142,CUST00069,Card,2025-01-24,Mobile App,Rejected,41152.22,,,KYC not approved,2025-02-02
APP000143,CUST00069,Account,2025-04-14,Mobile App,Approved,,,,,2025-04-17
APP000144,CUST00070,Remittance,2026-06-15,Agent,Approved,,,,,2026-06-22
APP000145,CUST00071,Loan,2025-03-25,Mobile App,Approved,49555.25,43772.74,,,2025-03-30
APP000146,CUST00071,Remittance,2026-05-09,Mobile App,Pending,,,,,2026-05-13
APP000147,CUST00072,Card,2024-11-02,Web,Pending,88435.87,,,,2024-11-12
APP000148,CUST00073,Loan,2026-03-27,Branch,Rejected,70980.37,,,Low credit score,2026-03-31
APP000149,CUST00074,Card,2024-03-17,Branch,Submitted,51829.51,,,,2024-03-24
APP000150,CUST00074,Wallet,2026-07-08,Branch,Approved,,,,,2026-07-12
APP000151,CUST00075,Account,2026-10-01,Mobile App,Approved,,,,,2026-10-06
APP000152,CUST00076,Card,2026-02-25,Mobile App,Approved,107355.37,,81199.02,,2026-03-11
APP000153,CUST00077,Remittance,2024-04-22,Web,Rejected,,,,,2024-05-01
APP000154,CUST00077,Card,2026-10-29,Web,Approved,89798.1,,33431.27,,2026-11-11
APP000155,CUST00077,Card,2026-08-09,Mobile App,Submitted,101140.47,,,,2026-08-22
APP000156,CUST00078,Account,2026-04-18,Web,Rejected,,,,,2026-04-26
APP000157,CUST00079,Card,2024-03-12,Branch,Approved,77065.52,,30353.46,,2024-03-17
APP000158,CUST00079,Wallet,2024-10-10,Mobile App,Rejected,,,,,2024-10-24
APP000159,CUST00080,Card,2025-11-18,Mobile App,Approved,59394.96,,36363.03,,2025-11-22
APP000160,CUST00080,Loan,2024-03-22,Branch,Approved,25700.3,20694.99,,,2024-03-26
APP000161,CUST00081,Loan,2026-05-08,Mobile App,Rejected,56152.6,,,KYC not approved,2026-05-20
APP000162,CUST00081,Card,2026-12-21,Branch,Rejected,148855.65,,,KYC not approved,2026-12-31
APP000163,CUST00082,Card,2024-09-12,Branch,Pending,105400.42,,,,2024-09-22
APP000164,CUST00082,Card,2024-06-10,Agent,Approved,19158.13,,9409.91,,2024-06-17
APP000165,CUST00082,Account,2025-11-22,Mobile App,Approved,,,,,2025-12-05
APP000166,CUST00082,Card,2025-07-03,Web,Pending,149615.19,,,,2025-07-17
APP000167,CUST00083,Account,2026-11-30,Web,Pending,,,,,2026-12-05
APP000168,CUST00083,Card,2025-10-26,Branch,Approved,40265.27,,24561.85,,2025-11-01
APP000169,CUST00084,Remittance,2024-03-29,Branch,Approved,,,,,2024-04-04
APP000170,CUST00085,Account,2025-11-18,Mobile App,Approved,,,,,2025-12-02
APP000171,CUST00086,Wallet,2025-09-18,Agent,Approved,,,,,2025-10-01
APP000172,CUST00086,Account,2026-12-17,Branch,Approved,,,,,2026-12-27
APP000173,CUST00087,Account,2025-09-15,Mobile App,Approved,,,,,2025-09-29
APP000174,CUST00087,Loan,2024-03-20,Branch,Approved,60060.34,54197.0,,,2024-03-21
APP000175,CUST00088,Wallet,2025-12-08,Mobile App,Approved,,,,,2025-12-11
APP000176,CUST00088,Account,2026-12-14,Web,Approved,,,,,2026-12-15
APP000177,CUST00089,Loan,2026-08-10,Mobile App,Approved,10508.82,10322.19,,,2026-08-19
APP000178,CUST00089,Remittance,2025-04-15,Web,Submitted,,,,,2025-04-25
APP000179,CUST00089,Card,2025-02-19,Mobile App,Rejected,120236.58,,,KYC not approved,2025-02-27
APP000180,CUST00090,Account,2026-10-07,Web,Approved,,,,,2026-10-13
APP000181,CUST00090,Account,2025-09-21,Web,Pending,,,,,2025-10-04
APP000182,CUST00091,Loan,2024-07-31,Web,Approved,24086.35,16574.81,,,2024-08-04
APP000183,CUST00091,Remittance,2026-12-01,Branch,Approved,,,,,2026-12-10
APP000184,CUST00091,Wallet,2025-09-14,Web,Approved,,,,,2025-09-21
APP000185,CUST00091,Loan,2025-07-17,Mobile App,Approved,17286.33,15016.5,,,2025-07-19
APP000186,CUST00092,Remittance,2025-09-08,Branch,Approved,,,,,2025-09-13
APP000187,CUST00092,Wallet,2024-10-25,Agent,Approved,,,,,2024-11-07
APP000188,CUST00092,Wallet,2024-02-07,Agent,Approved,,,,,2024-02-09
APP000189,CUST00093,Wallet,2024-01-08,Agent,Approved,,,,,2024-01-12
APP000190,CUST00093,Loan,2026-09-29,Mobile App,Approved,141237.14,120569.27,,,2026-10-05
APP000191,CUST00093,Remittance,2026-03-17,Agent,Submitted,,,,,2026-03-21
APP000192,CUST00094,Remittance,2024-03-22,Branch,Approved,,,,,2024-03-25
APP000193,CUST00095,Remittance,2024-02-11,Agent,Pending,,,,,2024-02-13
APP000194,CUST00096,Loan,2025-02-24,Mobile App,Rejected,114196.59,,,High debt burden ratio,2025-03-03
APP000195,CUST00096,Remittance,2025-11-21,Mobile App,Approved,,,,,2025-11-22
APP000196,CUST00097,Wallet,2025-05-29,Agent,Approved,,,,,2025-06-01
APP000197,CUST00098,Loan,2026-05-26,Web,Approved,53749.62,38559.11,,,2026-06-05
APP000198,CUST00098,Loan,2025-05-10,Mobile App,Approved,149798.05,91962.94,,,2025-05-15
APP000199,CUST00099,Remittance,2025-01-25,Mobile App,Pending,,,,,2025-02-04
APP000200,CUST00099,Account,2026-08-24,Mobile App,Rejected,,,,,2026-09-07
APP000201,CUST00100,Remittance,2026-02-18,Agent,Pending,,,,,2026-02-27
APP000202,CUST00101,Wallet,2024-12-01,Web,Approved,,,,,2024-12-15
APP000203,CUST00101,Account,2024-09-22,Agent,Approved,,,,,2024-09-29
APP000204,CUST00101,Account,2025-04-18,Agent,Pending,,,,,2025-04-30
APP000205,CUST00102,Remittance,2024-02-29,Web,Approved,,,,,2024-03-09
APP000206,CUST00103,Remittance,2025-02-10,Agent,Approved,,,,,2025-02-24
APP000207,CUST00104,Remittance,2026-07-06,Web,Approved,,,,,2026-07-14
APP000208,CUST00104,Card,2025-05-25,Web,Approved,40589.94,,30108.91,,2025-06-06
APP000209,CUST00104,Account,2024-12-05,Web,Approved,,,,,2024-12-09
APP000210,CUST00105,Wallet,2026-03-16,Branch,Pending,,,,,2026-03-23
APP000211,CUST00106,Remittance,2026-03-22,Agent,Rejected,,,,,2026-03-25
APP000212,CUST00106,Remittance,2026-01-29,Agent,Submitted,,,,,2026-02-04
APP000213,CUST00107,Account,2024-12-09,Agent,Approved,,,,,2024-12-23
APP000214,CUST00107,Account,2024-07-13,Mobile App,Approved,,,,,2024-07-17
APP000215,CUST00108,Remittance,2024-04-06,Agent,Approved,,,,,2024-04-20
APP000216,CUST00109,Account,2026-06-25,Mobile App,Approved,,,,,2026-07-02
APP000217,CUST00110,Remittance,2024-04-29,Mobile App,Approved,,,,,2024-05-04
APP000218,CUST00111,Loan,2025-10-07,Branch,Approved,65093.1,61730.65,,,2025-10-08
APP000219,CUST00112,Card,2024-02-24,Agent,Approved,6979.23,,2652.81,,2024-03-03
APP000220,CUST00112,Loan,2024-01-21,Web,Rejected,55469.52,,,High debt burden ratio,2024-01-23
APP000221,CUST00113,Loan,2026-12-19,Web,Approved,44733.07,33572.12,,,2027-01-01
APP000222,CUST00113,Loan,2026-08-25,Web,Rejected,136916.21,,,High debt burden ratio,2026-08-30
APP000223,CUST00114,Card,2026-09-15,Agent,Approved,118041.17,,39669.11,,2026-09-29
APP000224,CUST00114,Loan,2024-08-05,Agent,Pending,111202.94,,,,2024-08-08
APP000225,CUST00114,Wallet,2024-11-22,Agent,Approved,,,,,2024-12-04
APP000226,CUST00115,Account,2025-08-09,Mobile App,Approved,,,,,2025-08-23
APP000227,CUST00115,Account,2025-09-30,Agent,Approved,,,,,2025-10-01
APP000228,CUST00116,Wallet,2024-12-29,Agent,Approved,,,,,2025-01-04
APP000229,CUST00116,Wallet,2024-01-22,Agent,Approved,,,,,2024-01-23
APP000230,CUST00116,Loan,2025-01-19,Branch,Approved,119303.22,116286.11,,,2025-01-28
APP000231,CUST00117,Wallet,2026-02-14,Agent,Rejected,,,,,2026-02-19
APP000232,CUST00117,Wallet,2026-03-03,Web,Approved,,,,,2026-03-10
APP000233,CUST00118,Account,2026-05-08,Web,Approved,,,,,2026-05-10
APP000234,CUST00118,Wallet,2025-11-19,Web,Approved,,,,,2025-11-25
APP000235,CUST00119,Loan,2026-10-23,Mobile App,Approved,113388.97,89104.26,,,2026-10-31
APP000236,CUST00119,Wallet,2026-05-10,Web,Rejected,,,,,2026-05-17
APP000237,CUST00120,Card,2025-05-05,Branch,Approved,21449.18,,17076.71,,2025-05-12
APP000238,CUST00120,Card,2024-05-27,Web,Approved,72416.95,,43193.06,,2024-06-03
APP000239,CUST00120,Card,2025-11-02,Web,Approved,36201.3,,22621.64,,2025-11-04
APP000240,CUST00121,Wallet,2025-09-29,Agent,Approved,,,,,2025-10-12
APP000241,CUST00121,Card,2025-12-26,Mobile App,Approved,139447.73,,51452.53,,2026-01-09
APP000242,CUST00122,Wallet,2024-04-27,Mobile App,Approved,,,,,2024-05-03
APP000243,CUST00122,Wallet,2026-03-28,Agent,Approved,,,,,2026-04-10
APP000244,CUST00123,Account,2026-11-17,Web,Submitted,,,,,2026-11-23
APP000245,CUST00124,Card,2026-10-28,Web,Pending,149185.78,,,,2026-11-08
APP000246,CUST00124,Card,2024-11-13,Mobile App,Rejected,124501.12,,,Low credit score,2024-11-16
APP000247,CUST00125,Account,2026-03-10,Mobile App,Approved,,,,,2026-03-21
APP000248,CUST00126,Account,2025-01-07,Mobile App,Approved,,,,,2025-01-21
APP000249,CUST00127,Account,2026-03-17,Mobile App,Rejected,,,,,2026-03-24
APP000250,CUST00128,Loan,2024-08-14,Web,Rejected,140440.72,,,Incomplete documents,2024-08-19
APP000251,CUST00128,Loan,2024-06-26,Web,Approved,13134.68,9148.57,,,2024-06-30
APP000252,CUST00128,Loan,2026-03-06,Web,Approved,127718.94,92244.03,,,2026-03-16
APP000253,CUST00129,Remittance,2025-04-13,Web,Pending,,,,,2025-04-18
APP000254,CUST00130,Loan,2025-07-03,Mobile App,Approved,120793.0,93457.28,,,2025-07-17
APP000255,CUST00130,Wallet,2025-11-04,Mobile App,Rejected,,,,,2025-11-11
APP000256,CUST00131,Wallet,2026-02-23,Branch,Approved,,,,,2026-02-24
APP000257,CUST00131,Loan,2026-11-13,Mobile App,Approved,65887.67,40256.43,,,2026-11-26
APP000258,CUST00131,Loan,2024-11-18,Branch,Approved,94544.33,88993.87,,,2024-12-02
APP000259,CUST00132,Loan,2025-04-10,Mobile App,Submitted,45977.54,,,,2025-04-19
APP000260,CUST00132,Card,2026-07-23,Web,Approved,110413.35,,71761.31,,2026-07-31
APP000261,CUST00132,Wallet,2024-08-17,Agent,Approved,,,,,2024-08-27
APP000262,CUST00133,Account,2025-09-16,Web,Approved,,,,,2025-09-22
APP000263,CUST00133,Wallet,2026-08-31,Agent,Approved,,,,,2026-09-06
APP000264,CUST00134,Account,2025-06-29,Agent,Approved,,,,,2025-07-08
APP000265,CUST00134,Account,2025-08-28,Web,Approved,,,,,2025-09-11
APP000266,CUST00135,Wallet,2026-03-13,Mobile App,Approved,,,,,2026-03-18
APP000267,CUST00135,Remittance,2026-02-04,Branch,Approved,,,,,2026-02-14
APP000268,CUST00136,Loan,2025-02-07,Agent,Approved,12647.28,10791.97,,,2025-02-19
APP000269,CUST00136,Account,2026-08-18,Mobile App,Approved,,,,,2026-08-27
APP000270,CUST00136,Remittance,2026-05-19,Mobile App,Pending,,,,,2026-05-30
APP000271,CUST00136,Card,2025-04-09,Web,Approved,118130.15,,86984.1,,2025-04-16
APP000272,CUST00137,Wallet,2026-03-18,Branch,Approved,,,,,2026-03-31
APP000273,CUST00137,Account,2026-10-19,Agent,Approved,,,,,2026-11-01
APP000274,CUST00138,Loan,2026-02-24,Agent,Approved,136396.7,97959.59,,,2026-03-10
APP000275,CUST00138,Wallet,2026-12-28,Agent,Approved,,,,,2026-12-30
APP000276,CUST00139,Card,2025-06-29,Agent,Submitted,66542.98,,,,2025-07-10
APP000277,CUST00139,Remittance,2024-08-20,Branch,Pending,,,,,2024-08-28
APP000278,CUST00140,Card,2025-08-02,Mobile App,Approved,11593.02,,3766.94,,2025-08-04
APP000279,CUST00140,Account,2024-07-26,Web,Approved,,,,,2024-08-09
APP000280,CUST00141,Loan,2026-05-09,Web,Rejected,26896.14,,,KYC not approved,2026-05-22
APP000281,CUST00141,Card,2024-12-24,Web,Approved,29127.11,,22172.12,,2025-01-01
APP000282,CUST00142,Loan,2026-11-24,Web,Approved,31438.75,26176.94,,,2026-11-26
APP000283,CUST00143,Wallet,2026-05-31,Agent,Approved,,,,,2026-06-12
APP000284,CUST00143,Card,2026-05-14,Mobile App,Approved,148703.93,,116366.54,,2026-05-24
APP000285,CUST00143,Remittance,2026-08-17,Mobile App,Approved,,,,,2026-08-18
APP000286,CUST00144,Account,2025-03-08,Branch,Rejected,,,,,2025-03-21
APP000287,CUST00145,Remittance,2024-06-09,Branch,Approved,,,,,2024-06-16
APP000288,CUST00145,Loan,2024-02-25,Agent,Approved,18804.24,11599.76,,,2024-03-03
APP000289,CUST00146,Card,2025-11-10,Branch,Rejected,10361.44,,,Incomplete documents,2025-11-16
APP000290,CUST00146,Loan,2026-11-08,Web,Rejected,81493.16,,,Incomplete documents,2026-11-18
APP000291,CUST00147,Card,2024-04-17,Branch,Submitted,59575.38,,,,2024-04-30
APP000292,CUST00148,Account,2026-09-06,Mobile App,Approved,,,,,2026-09-11
APP000293,CUST00148,Remittance,2025-07-11,Mobile App,Pending,,,,,2025-07-12
APP000294,CUST00148,Account,2024-01-06,Web,Approved,,,,,2024-01-11
APP000295,CUST00149,Loan,2026-08-14,Branch,Approved,28427.57,27567.96,,,2026-08-15
APP000296,CUST00150,Loan,2026-05-05,Mobile App,Approved,72472.68,66420.05,,,2026-05-16
APP000297,CUST00150,Loan,2026-03-05,Web,Approved,14843.83,11481.74,,,2026-03-07
APP000298,CUST00150,Card,2024-03-24,Branch,Approved,105380.87,,58351.65,,2024-03-31
APP000299,CUST00151,Account,2024-01-05,Mobile App,Approved,,,,,2024-01-16
APP000300,CUST00151,Loan,2026-04-30,Agent,Approved,123007.43,78811.81,,,2026-05-04
APP000301,CUST00152,Card,2024-12-08,Mobile App,Approved,25508.33,,20161.89,,2024-12-22
APP000302,CUST00152,Account,2026-02-09,Mobile App,Approved,,,,,2026-02-20
APP000303,CUST00152,Card,2024-07-24,Agent,Approved,6074.52,,3942.82,,2024-07-25
APP000304,CUST00153,Account,2025-06-16,Branch,Approved,,,,,2025-06-20
APP000305,CUST00153,Account,2024-05-27,Mobile App,Approved,,,,,2024-06-03
APP000306,CUST00153,Account,2024-10-24,Branch,Approved,,,,,2024-11-01
APP000307,CUST00154,Loan,2025-09-11,Mobile App,Rejected,48680.45,,,Incomplete documents,2025-09-24
APP000308,CUST00155,Loan,2026-01-25,Agent,Approved,127624.7,81135.54,,,2026-02-04
APP000309,CUST00155,Card,2024-06-28,Branch,Approved,148215.32,,61941.28,,2024-07-01
APP000310,CUST00156,Account,2026-09-16,Mobile App,Approved,,,,,2026-09-18
