repayment_id,loan_id,customer_id,due_date,payment_date,due_amount,paid_amount,repayment_status,days_past_due
RPY0000023,LOAN000002,CUST00004,2025-04-14,2025-04-14,1636.08,1636.08,Paid,0
RPY0000024,LOAN000002,CUST00004,2025-05-14,2025-05-14,1636.08,1636.08,Paid,0
RPY0000025,LOAN000002,CUST00004,2025-06-13,2025-06-18,1636.08,1636.08,Late,5
RPY0000026,LOAN000002,CUST00004,2025-07-13,2025-07-13,1636.08,1636.08,Paid,0
RPY0000027,LOAN000002,CUST00004,2025-08-12,,1636.08,0.0,Missed,30
RPY0000028,LOAN000002,CUST00004,2025-09-11,2025-09-21,1636.08,1636.08,Late,10
RPY0000029,LOAN000002,CUST00004,2025-10-11,2025-10-11,1636.08,1636.08,Paid,0
RPY0000030,LOAN000002,CUST00004,2025-11-10,2025-11-10,1636.08,1636.08,Paid,0
RPY0000031,LOAN000002,CUST00004,2025-12-10,2025-12-10,1636.08,1636.08,Paid,0
RPY0000032,LOAN000002,CUST00004,2026-01-09,2026-01-09,1636.08,1636.08,Paid,0
RPY0000033,LOAN000002,CUST00004,2026-02-08,2026-02-08,1636.08,1636.08,Paid,0
RPY0000034,LOAN000002,CUST00004,2026-03-10,2026-03-10,1636.08,1636.08,Paid,0
RPY0000035,LOAN000002,CUST00004,2026-04-09,2026-04-09,1636.08,1636.08,Paid,0
RPY0000036,LOAN000002,CUST00004,2026-05-09,,1636.08,0.0,Missed,90
RPY0000037,LOAN000002,CUST00004,2026-06-08,2026-06-08,1636.08,1636.08,Paid,0
RPY0000038,LOAN000002,CUST00004,2026-07-08,2026-07-08,1636.08,1636.08,Paid,0
RPY0000039,LOAN000002,CUST00004,2026-08-07,2026-08-17,1636.08,1636.08,Late,10
RPY0000040,LOAN000002,CUST00004,2026-09-06,2026-09-06,1636.08,1636.08,Paid,0
RPY0000041,LOAN000002,CUST00004,2026-10-06,2026-10-06,1636.08,1636.08,Paid,0
RPY0000042,LOAN000002,CUST00004,2026-11-05,2026-12-20,1636.08,1636.08,Late,45
RPY0000043,LOAN000003,CUST00008,2025-11-25,2025-11-25,3072.54,3072.54,Paid,0
RPY0000044,LOAN000003,CUST00008,2025-12-25,2025-12-25,3072.54,3072.54,Paid,0
RPY0000045,LOAN000003,CUST00008,2026-01-24,2026-01-24,3072.54,3072.54,Paid,0
RPY0000046,LOAN000003,CUST00008,2026-02-23,,3072.54,0.0,Missed,30
RPY0000047,LOAN000003,CUST00008,2026-03-25,2026-03-25,3072.54,3072.54,Paid,0
RPY0000048,LOAN000003,CUST00008,2026-04-24,2026-04-24,3072.54,3072.54,Paid,0
RPY0000049,LOAN000003,CUST00008,2026-05-24,2026-05-24,3072.54,3072.54,Paid,0
RPY0000050,LOAN000003,CUST00008,2026-06-23,2026-06-23,3072.54,3072.54,Paid,0
RPY0000051,LOAN000003,CUST00008,2026-07-23,2026-07-23,3072.54,3072.54,Paid,0
RPY0000052,LOAN000003,CUST00008,2026-08-22,2026-08-22,3072.54,3072.54,Paid,0
RPY0000053,LOAN000003,CUST00008,2026-09-21,,3072.54,0.0,Missed,60
RPY0000054,LOAN000003,CUST00008,2026-10-21,2026-10-21,3072.54,3072.54,Paid,0
RPY0000055,LOAN000003,CUST00008,2026-11-20,2026-11-20,3072.54,3072.54,Paid,0
RPY0000056,LOAN000003,CUST00008,2026-12-20,2026-12-20,3072.54,3072.54,Paid,0
RPY0000057,LOAN000003,CUST00008,2027-01-19,2027-01-19,3072.54,3072.54,Paid,0
RPY0000058,LOAN000003,CUST00008,2027-02-18,2027-02-18,3072.54,3072.54,Paid,0
RPY0000059,LOAN000003,CUST00008,2027-03-20,2027-03-20,3072.54,3072.54,Paid,0
RPY0000060,LOAN000003,CUST00008,2027-04-19,2027-05-19,3072.54,3072.54,Late,30
RPY0000061,LOAN000004,CUST00012,2026-06-06,2026-07-06,4726.31,4726.31,Late,30
RPY0000062,LOAN000004,CUST00012,2026-07-06,2026-07-06,4726.31,4726.31,Paid,0
RPY0000063,LOAN000004,CUST00012,2026-08-05,2026-08-05,4726.31,4726.31,Paid,0
RPY0000064,LOAN000004,CUST00012,2026-09-04,2026-09-04,4726.31,4726.31,Paid,0
RPY0000065,LOAN000004,CUST00012,2026-10-04,,4726.31,0.0,Missed,30
RPY0000066,LOAN000004,CUST00012,2026-11-03,2026-11-03,4726.31,4726.31,Paid,0
RPY0000067,LOAN000004,CUST00012,2026-12-03,2026-12-03,4726.31,4726.31,Paid,0
RPY0000068,LOAN000004,CUST00012,2027-01-02,,4726.31,0.0,Missed,60
RPY0000069,LOAN000004,CUST00012,2027-02-01,2027-02-01,4726.31,4726.31,Paid,0
RPY0000070,LOAN000004,CUST00012,2027-03-03,2027-03-03,4726.31,4726.31,Paid,0
RPY0000071,LOAN000004,CUST00012,2027-04-02,2027-04-02,4726.31,4726.31,Paid,0
RPY0000072,LOAN000004,CUST00012,2027-05-02,2027-05-12,4726.31,4726.31,Late,10
RPY0000073,LOAN000004,CUST00012,2027-06-01,2027-06-01,4726.31,4726.31,Paid,0
RPY0000074,LOAN000004,CUST00012,2027-07-01,2027-07-01,4726.31,4726.31,Paid,0
RPY0000075,LOAN000004,CUST00012,2027-07-31,2027-09-29,4726.31,3532.75,Partial,60
RPY0000076,LOAN000004,CUST00012,2027-08-30,2027-08-30,4726.31,4726.31,Paid,0
RPY0000077,LOAN000004,CUST00012,2027-09-29,,4726.31,0.0,Missed,30
RPY0000078,LOAN000004,CUST00012,2027-10-29,2027-10-29,4726.31,4726.31,Paid,0
RPY0000079,LOAN000004,CUST00012,2027-11-28,2027-11-28,4726.31,4726.31,Paid,0
RPY0000080,LOAN000004,CUST00012,2027-12-28,2027-12-28,4726.31,4726.31,Paid,0
RPY0000081,LOAN000004,CUST00012,2028-01-27,2028-01-27,4726.31,4726.31,Paid,0
RPY0000082,LOAN000004,CUST00012,2028-02-26,2028-03-27,4726.31,4726.31,Late,30
RPY0000083,LOAN000004,CUST00012,2028-03-27,2028-03-27,4726.31,4726.31,Paid,0
RPY0000084,LOAN000004,CUST00012,2028-04-26,2028-04-26,4726.31,4726.31,Paid,0
RPY0000085,LOAN000005,CUST00012,2024-02-19,2024-02-19,2416.73,2416.73,Paid,0
RPY0000086,LOAN000005,CUST00012,2024-03-20,2024-03-20,2416.73,2416.73,Paid,0
RPY0000087,LOAN000005,CUST00012,2024-04-19,2024-04-19,2416.73,2416.73,Paid,0
RPY0000088,LOAN000005,CUST00012,2024-05-19,,2416.73,0.0,Missed,60
RPY0000089,LOAN000005,CUST00012,2024-06-18,2024-06-18,2416.73,2416.73,Paid,0
RPY0000090,LOAN000005,CUST00012,2024-07-18,2024-07-18,2416.73,2416.73,Paid,0
RPY0000091,LOAN000005,CUST00012,2024-08-17,2024-08-17,2416.73,2416.73,Paid,0
RPY0000092,LOAN000005,CUST00012,2024-09-16,2024-09-26,2416.73,2416.73,Late,10
RPY0000093,LOAN000005,CUST00012,2024-10-16,2024-10-16,2416.73,2416.73,Paid,0
RPY0000094,LOAN000005,CUST00012,2024-11-15,2024-11-15,2416.73,2416.73,Paid,0
RPY0000095,LOAN000005,CUST00012,2024-12-15,2025-01-29,2416.73,2416.73,Late,45
RPY0000096,LOAN000005,CUST00012,2025-01-14,2025-01-14,2416.73,2416.73,Paid,0
RPY0000097,LOAN000005,CUST00012,2025-02-13,2025-03-30,2416.73,2416.73,Late,45
RPY0000098,LOAN000005,CUST00012,2025-03-15,2025-04-29,2416.73,2416.73,Late,45
RPY0000099,LOAN000005,CUST00012,2025-04-14,2025-04-14,2416.73,2416.73,Paid,0
RPY0000100,LOAN000005,CUST00012,2025-05-14,,2416.73,0.0,Missed,30
RPY0000101,LOAN000005,CUST00012,2025-06-13,2025-07-13,2416.73,1041.8,Partial,30
RPY0000102,LOAN000005,CUST00012,2025-07-13,2025-07-13,2416.73,2416.73,Paid,0
RPY0000103,LOAN000005,CUST00012,2025-08-12,2025-08-12,2416.73,2416.73,Paid,0
RPY0000104,LOAN000005,CUST00012,2025-09-11,2025-09-11,2416.73,2416.73,Paid,0
RPY0000105,LOAN000005,CUST00012,2025-10-11,2025-10-11,2416.73,2416.73,Paid,0
RPY0000106,LOAN000005,CUST00012,2025-11-10,2025-11-10,2416.73,2416.73,Paid,0
RPY0000107,LOAN000005,CUST00012,2025-12-10,2025-12-10,2416.73,2416.73,Paid,0
RPY0000108,LOAN000005,CUST00012,2026-01-09,2026-01-09,2416.73,2416.73,Paid,0
RPY0000109,LOAN000005,CUST00012,2026-02-08,2026-02-08,2416.73,2416.73,Paid,0
RPY0000110,LOAN000005,CUST00012,2026-03-10,2026-03-10,2416.73,2416.73,Paid,0
RPY0000111,LOAN000005,CUST00012,2026-04-09,2026-04-09,2416.73,2416.73,Paid,0
RPY0000112,LOAN000005,CUST00012,2026-05-09,2026-06-23,2416.73,2416.73,Late,45
RPY0000113,LOAN000005,CUST00012,2026-06-08,2026-06-08,2416.73,2416.73,Paid,0
RPY0000114,LOAN000005,CUST00012,2026-07-08,2026-09-06,2416.73,877.1,Partial,60
RPY0000115,LOAN000005,CUST00012,2026-08-07,2026-08-07,2416.73,2416.73,Paid,0
RPY0000116,LOAN000005,CUST00012,2026-09-06,2026-09-06,2416.73,2416.73,Paid,0
RPY0000117,LOAN000005,CUST00012,2026-10-06,2026-10-06,2416.73,2416.73,Paid,0
RPY0000118,LOAN000005,CUST00012,2026-11-05,2026-11-05,2416.73,2416.73,Paid,0
RPY0000119,LOAN000005,CUST00012,2026-12-05,2026-12-05,2416.73,2416.73,Paid,0
RPY0000120,LOAN000005,CUST00012,2027-01-04,2027-01-04,2416.73,2416.73,Paid,0
RPY0000121,LOAN000005,CUST00012,2027-02-03,2027-02-03,2416.73,2416.73,Paid,0
RPY0000122,LOAN000005,CUST00012,2027-03-05,2027-03-05,2416.73,2416.73,Paid,0
RPY0000123,LOAN000005,CUST00012,2027-04-04,2027-04-04,2416.73,2416.73,Paid,0
RPY0000124,LOAN000005,CUST00012,2027-05-04,,2416.73,0.0,Missed,30
RPY0000125,LOAN000005,CUST00012,2027-06-03,2027-08-02,2416.73,1368.22,Partial,60
RPY0000126,LOAN000005,CUST00012,2027-07-03,2027-07-03,2416.73,2416.73,Paid,0
RPY0000127,LOAN000005,CUST00012,2027-08-02,2027-08-02,2416.73,2416.73,Paid,0
RPY0000128,LOAN000005,CUST00012,2027-09-01,2027-10-01,2416.73,2416.73,Late,30
RPY0000129,LOAN000005,CUST00012,2027-10-01,2027-10-01,2416.73,2416.73,Paid,0
RPY0000130,LOAN000005,CUST00012,2027-10-31,2027-10-31,2416.73,2416.73,Paid,0
RPY0000131,LOAN000005,CUST00012,2027-11-30,2027-11-30,2416.73,2416.73,Paid,0
RPY0000132,LOAN000005,CUST00012,2027-12-30,2027-12-30,2416.73,2416.73,Paid,0
RPY0000133,LOAN000006,CUST00018,2024-07-14,2024-07-14,3709.7,3709.7,Paid,0
RPY0000134,LOAN000006,CUST00018,2024-08-13,2024-08-13,3709.7,3709.7,Paid,0
RPY0000135,LOAN000006,CUST00018,2024-09-12,2024-09-12,3709.7,3709.7,Paid,0
RPY0000136,LOAN000006,CUST00018,2024-10-12,2024-10-22,3709.7,3709.7,Late,10
RPY0000137,LOAN000006,CUST00018,2024-11-11,2024-11-26,3709.7,1107.43,Partial,15
RPY0000138,LOAN000006,CUST00018,2024-12-11,2024-12-11,3709.7,3709.7,Paid,0
RPY0000139,LOAN000006,CUST00018,2025-01-10,2025-01-10,3709.7,3709.7,Paid,0
RPY0000140,LOAN000006,CUST00018,2025-02-09,2025-02-09,3709.7,3709.7,Paid,0
RPY0000141,LOAN000006,CUST00018,2025-03-11,2025-03-11,3709.7,3709.7,Paid,0
RPY0000142,LOAN000006,CUST00018,2025-04-10,2025-04-10,3709.7,3709.7,Paid,0
RPY0000143,LOAN000006,CUST00018,2025-05-10,2025-05-10,3709.7,3709.7,Paid,0
RPY0000144,LOAN000006,CUST00018,2025-06-09,2025-06-09,3709.7,3709.7,Paid,0
RPY0000145,LOAN000007,CUST00019,2027-01-01,2027-01-01,694.68,694.68,Paid,0
RPY0000146,LOAN000007,CUST00019,2027-01-31,2027-01-31,694.68,694.68,Paid,0
RPY0000147,LOAN000007,CUST00019,2027-03-02,2027-03-12,694.68,694.68,Late,10
RPY0000148,LOAN000007,CUST00019,2027-04-01,2027-04-01,694.68,694.68,Paid,0
RPY0000149,LOAN000007,CUST00019,2027-05-01,2027-05-31,694.68,694.68,Late,30
RPY0000150,LOAN000007,CUST00019,2027-05-31,,694.68,0.0,Missed,60
RPY0000151,LOAN000007,CUST00019,2027-06-30,2027-06-30,694.68,694.68,Paid,0
RPY0000152,LOAN000007,CUST00019,2027-07-30,2027-09-13,694.68,694.68,Late,45
RPY0000153,LOAN000007,CUST00019,2027-08-29,2027-08-29,694.68,694.68,Paid,0
RPY0000154,LOAN000007,CUST00019,2027-09-28,2027-09-28,694.68,694.68,Paid,0
RPY0000155,LOAN000007,CUST00019,2027-10-28,2027-10-28,694.68,694.68,Paid,0
RPY0000156,LOAN000007,CUST00019,2027-11-27,2027-11-27,694.68,694.68,Paid,0
RPY0000157,LOAN000007,CUST00019,2027-12-27,2027-12-27,694.68,694.68,Paid,0
RPY0000158,LOAN000007,CUST00019,2028-01-26,2028-01-26,694.68,694.68,Paid,0
RPY0000159,LOAN000007,CUST00019,2028-02-25,2028-02-25,694.68,694.68,Paid,0
RPY0000160,LOAN000007,CUST00019,2028-03-26,2028-03-26,694.68,694.68,Paid,0
RPY0000161,LOAN000007,CUST00019,2028-04-25,2028-05-25,694.68,694.68,Late,30
RPY0000162,LOAN000007,CUST00019,2028-05-25,2028-05-25,694.68,694.68,Paid,0
RPY0000163,LOAN000007,CUST00019,2028-06-24,2028-06-24,694.68,694.68,Paid,0
RPY0000164,LOAN000007,CUST00019,2028-07-24,2028-07-24,694.68,694.68,Paid,0
RPY0000165,LOAN000007,CUST00019,2028-08-23,2028-08-23,694.68,694.68,Paid,0
RPY0000166,LOAN000007,CUST00019,2028-09-22,2028-09-22,694.68,694.68,Paid,0
RPY0000167,LOAN000007,CUST00019,2028-10-22,2028-10-22,694.68,694.68,Paid,0
RPY0000168,LOAN000007,CUST00019,2028-11-21,,694.68,0.0,Missed,30
RPY0000169,LOAN000007,CUST00019,2028-12-21,,694.68,0.0,Missed,120
RPY0000170,LOAN000007,CUST00019,2029-01-20,,694.68,0.0,Missed,90
RPY0000171,LOAN000007,CUST00019,2029-02-19,,694.68,0.0,Missed,120
RPY0000172,LOAN000007,CUST00019,2029-03-21,2029-04-20,694.68,351.27,Partial,30
RPY0000173,LOAN000007,CUST00019,2029-04-20,2029-05-05,694.68,432.89,Partial,15
RPY0000174,LOAN000007,CUST00019,2029-05-20,2029-07-19,694.68,397.26,Partial,60
RPY0000175,LOAN000007,CUST00019,2029-06-19,,694.68,0.0,Missed,90
RPY0000176,LOAN000007,CUST00019,2029-07-19,2029-09-17,694.68,390.09,Partial,60
RPY0000177,LOAN000007,CUST00019,2029-08-18,,694.68,0.0,Missed,30
RPY0000178,LOAN000007,CUST00019,2029-09-17,,694.68,0.0,Missed,90
RPY0000179,LOAN000007,CUST00019,2029-10-17,2029-11-01,694.68,457.27,Partial,15
RPY0000180,LOAN000007,CUST00019,2029-11-16,2029-11-26,694.68,694.68,Late,10
RPY0000181,LOAN000007,CUST00019,2029-12-16,2029-12-31,694.68,436.55,Partial,15
RPY0000182,LOAN000007,CUST00019,2030-01-15,,694.68,0.0,Missed,60
RPY0000183,LOAN000007,CUST00019,2030-02-14,,694.68,0.0,Missed,120
RPY0000184,LOAN000007,CUST00019,2030-03-16,2030-04-30,694.68,694.68,Late,45
RPY0000185,LOAN000007,CUST00019,2030-04-15,,694.68,0.0,Missed,90
RPY0000186,LOAN000007,CUST00019,2030-05-15,,694.68,0.0,Missed,90
RPY0000187,LOAN000007,CUST00019,2030-06-14,2030-08-13,694.68,497.69,Partial,60
RPY0000188,LOAN000007,CUST00019,2030-07-14,2030-07-29,694.68,694.68,Late,15
RPY0000189,LOAN000007,CUST00019,2030-08-13,2030-09-27,694.68,694.68,Late,45
RPY0000190,LOAN000007,CUST00019,2030-09-12,,694.68,0.0,Missed,60
RPY0000191,LOAN000007,CUST00019,2030-10-12,2030-12-11,694.68,378.25,Partial,60
RPY0000192,LOAN000007,CUST00019,2030-11-11,,694.68,0.0,Missed,120
RPY0000193,LOAN000008,CUST00024,2024-08-11,2024-08-11,6751.68,6751.68,Paid,0
RPY0000194,LOAN000008,CUST00024,2024-09-10,2024-09-10,6751.68,6751.68,Paid,0
RPY0000195,LOAN000008,CUST00024,2024-10-10,2024-10-20,6751.68,6751.68,Late,10
RPY0000196,LOAN000008,CUST00024,2024-11-09,2024-11-14,6751.68,6751.68,Late,5
RPY0000197,LOAN000008,CUST00024,2024-12-09,2024-12-09,6751.68,6751.68,Paid,0
RPY0000198,LOAN000008,CUST00024,2025-01-08,2025-01-08,6751.68,6751.68,Paid,0
RPY0000199,LOAN000008,CUST00024,2025-02-07,2025-02-07,6751.68,6751.68,Paid,0
RPY0000200,LOAN000008,CUST00024,2025-03-09,2025-03-09,6751.68,6751.68,Paid,0
RPY0000201,LOAN000008,CUST00024,2025-04-08,2025-04-08,6751.68,6751.68,Paid,0
RPY0000202,LOAN000008,CUST00024,2025-05-08,,6751.68,0.0,Missed,60
RPY0000203,LOAN000008,CUST00024,2025-06-07,,6751.68,0.0,Missed,90
RPY0000204,LOAN000008,CUST00024,2025-07-07,,6751.68,0.0,Missed,120
RPY0000205,LOAN000008,CUST00024,2025-08-06,,6751.68,0.0,Missed,30
RPY0000206,LOAN000008,CUST00024,2025-09-05,,6751.68,0.0,Missed,60
RPY0000207,LOAN000008,CUST00024,2025-10-05,,6751.68,0.0,Missed,120
RPY0000208,LOAN000008,CUST00024,2025-11-04,2025-11-19,6751.68,6751.68,Late,15
RPY0000209,LOAN000008,CUST00024,2025-12-04,2025-12-19,6751.68,3477.77,Partial,15
RPY0000210,LOAN000008,CUST00024,2026-01-03,,6751.68,0.0,Missed,120
RPY0000211,LOAN000009,CUST00025,2024-08-22,2024-08-22,1175.86,1175.86,Paid,0
RPY0000212,LOAN000009,CUST00025,2024-09-21,2024-10-06,1175.86,487.18,Partial,15
RPY0000213,LOAN000009,CUST00025,2024-10-21,2024-10-21,1175.86,1175.86,Paid,0
RPY0000214,LOAN000009,CUST00025,2024-11-20,2024-11-20,1175.86,1175.86,Paid,0
RPY0000215,LOAN000009,CUST00025,2024-12-20,2024-12-20,1175.86,1175.86,Paid,0
RPY0000216,LOAN000009,CUST00025,2025-01-19,2025-01-19,1175.86,1175.86,Paid,0
RPY0000217,LOAN000009,CUST00025,2025-02-18,2025-02-23,1175.86,1175.86,Late,5
RPY0000218,LOAN000009,CUST00025,2025-03-20,2025-03-20,1175.86,1175.86,Paid,0
RPY0000219,LOAN000009,CUST00025,2025-04-19,2025-04-19,1175.86,1175.86,Paid,0
RPY0000220,LOAN000009,CUST00025,2025-05-19,2025-06-18,1175.86,527.36,Partial,30
RPY0000221,LOAN000009,CUST00025,2025-06-18,2025-06-18,1175.86,1175.86,Paid,0
RPY0000222,LOAN000009,CUST00025,2025-07-18,2025-07-18,1175.86,1175.86,Paid,0
RPY0000223,LOAN000009,CUST00025,2025-08-17,2025-08-17,1175.86,1175.86,Paid,0
RPY0000224,LOAN000009,CUST00025,2025-09-16,2025-09-16,1175.86,1175.86,Paid,0
RPY0000225,LOAN000009,CUST00025,2025-10-16,2025-10-16,1175.86,1175.86,Paid,0
RPY0000226,LOAN000009,CUST00025,2025-11-15,2025-11-15,1175.86,1175.86,Paid,0
RPY0000227,LOAN000009,CUST00025,2025-12-15,2025-12-15,1175.86,1175.86,Paid,0
RPY0000228,LOAN000009,CUST00025,2026-01-14,2026-01-14,1175.86,1175.86,Paid,0
RPY0000229,LOAN000009,CUST00025,2026-02-13,2026-03-15,1175.86,1175.86,Late,30
RPY0000230,LOAN000009,CUST00025,2026-03-15,2026-04-14,1175.86,1175.86,Late,30
RPY0000231,LOAN000009,CUST00025,2026-04-14,2026-04-14,1175.86,1175.86,Paid,0
RPY0000232,LOAN000009,CUST00025,2026-05-14,2026-05-14,1175.86,1175.86,Paid,0
RPY0000233,LOAN000009,CUST00025,2026-06-13,2026-06-13,1175.86,1175.86,Paid,0
RPY0000234,LOAN000009,CUST00025,2026-07-13,2026-07-13,1175.86,1175.86,Paid,0
RPY0000235,LOAN000009,CUST00025,2026-08-12,2026-08-12,1175.86,1175.86,Paid,0
RPY0000236,LOAN000009,CUST00025,2026-09-11,2026-09-11,1175.86,1175.86,Paid,0
RPY0000237,LOAN000009,CUST00025,2026-10-11,2026-10-11,1175.86,1175.86,Paid,0
RPY0000238,LOAN000009,CUST00025,2026-11-10,2026-11-10,1175.86,1175.86,Paid,0
RPY0000239,LOAN000009,CUST00025,2026-12-10,2026-12-10,1175.86,1175.86,Paid,0
RPY0000240,LOAN000009,CUST00025,2027-01-09,,1175.86,0.0,Missed,60
RPY0000241,LOAN000009,CUST00025,2027-02-08,2027-02-08,1175.86,1175.86,Paid,0
RPY0000242,LOAN000009,CUST00025,2027-03-10,,1175.86,0.0,Missed,120
RPY0000243,LOAN000009,CUST00025,2027-04-09,2027-04-19,1175.86,1175.86,Late,10
RPY0000244,LOAN000009,CUST00025,2027-05-09,2027-05-09,1175.86,1175.86,Paid,0
RPY0000245,LOAN000009,CUST00025,2027-06-08,2027-06-08,1175.86,1175.86,Paid,0
RPY0000246,LOAN000009,CUST00025,2027-07-08,,1175.86,0.0,Missed,120
RPY0000247,LOAN000010,CUST00025,2024-06-04,2024-06-04,2345.17,2345.17,Paid,0
RPY0000248,LOAN000010,CUST00025,2024-07-04,2024-07-09,2345.17,2345.17,Late,5
RPY0000249,LOAN000010,CUST00025,2024-08-03,2024-09-02,2345.17,1671.42,Partial,30
RPY0000250,LOAN000010,CUST00025,2024-09-02,2024-09-12,2345.17,2345.17,Late,10
RPY0000251,LOAN000010,CUST00025,2024-10-02,2024-10-02,2345.17,2345.17,Paid,0
RPY0000252,LOAN000010,CUST00025,2024-11-01,2024-11-01,2345.17,2345.17,Paid,0
RPY0000253,LOAN000010,CUST00025,2024-12-01,2024-12-01,2345.17,2345.17,Paid,0
RPY0000254,LOAN000010,CUST00025,2024-12-31,,2345.17,0.0,Missed,120
RPY0000255,LOAN000010,CUST00025,2025-01-30,2025-01-30,2345.17,2345.17,Paid,0
RPY0000256,LOAN000010,CUST00025,2025-03-01,2025-03-01,2345.17,2345.17,Paid,0
RPY0000257,LOAN000010,CUST00025,2025-03-31,2025-03-31,2345.17,2345.17,Paid,0
RPY0000258,LOAN000010,CUST00025,2025-04-30,2025-04-30,2345.17,2345.17,Paid,0
RPY0000259,LOAN000010,CUST00025,2025-05-30,2025-05-30,2345.17,2345.17,Paid,0
RPY0000260,LOAN000010,CUST00025,2025-06-29,2025-07-09,2345.17,2345.17,Late,10
RPY0000261,LOAN000010,CUST00025,2025-07-29,2025-07-29,2345.17,2345.17,Paid,0
RPY0000262,LOAN000010,CUST00025,2025-08-28,2025-10-27,2345.17,700.54,Partial,60
RPY0000263,LOAN000010,CUST00025,2025-09-27,2025-09-27,2345.17,2345.17,Paid,0
RPY0000264,LOAN000010,CUST00025,2025-10-27,2025-10-27,2345.17,2345.17,Paid,0
RPY0000265,LOAN000010,CUST00025,2025-11-26,2025-11-26,2345.17,2345.17,Paid,0
RPY0000266,LOAN000010,CUST00025,2025-12-26,2026-01-10,2345.17,1610.75,Partial,15
RPY0000267,LOAN000010,CUST00025,2026-01-25,2026-01-25,2345.17,2345.17,Paid,0
RPY0000268,LOAN000010,CUST00025,2026-02-24,2026-04-25,2345.17,1230.15,Partial,60
RPY0000269,LOAN000010,CUST00025,2026-03-26,2026-03-26,2345.17,2345.17,Paid,0
RPY0000270,LOAN000010,CUST00025,2026-04-25,2026-04-25,2345.17,2345.17,Paid,0
RPY0000271,LOAN000010,CUST00025,2026-05-25,2026-07-09,2345.17,2345.17,Late,45
RPY0000272,LOAN000010,CUST00025,2026-06-24,2026-06-29,2345.17,2345.17,Late,5
RPY0000273,LOAN000010,CUST00025,2026-07-24,2026-07-24,2345.17,2345.17,Paid,0
RPY0000274,LOAN000010,CUST00025,2026-08-23,2026-09-22,2345.17,1421.28,Partial,30
RPY0000275,LOAN000010,CUST00025,2026-09-22,2026-09-22,2345.17,2345.17,Paid,0
RPY0000276,LOAN000010,CUST00025,2026-10-22,2026-10-22,2345.17,2345.17,Paid,0
RPY0000277,LOAN000010,CUST00025,2026-11-21,2026-11-21,2345.17,2345.17,Paid,0
RPY0000278,LOAN000010,CUST00025,2026-12-21,2026-12-21,2345.17,2345.17,Paid,0
RPY0000279,LOAN000010,CUST00025,2027-01-20,2027-01-20,2345.17,2345.17,Paid,0
RPY0000280,LOAN000010,CUST00025,2027-02-19,2027-02-19,2345.17,2345.17,Paid,0
RPY0000281,LOAN000010,CUST00025,2027-03-21,2027-04-05,2345.17,2345.17,Late,15
RPY0000282,LOAN000010,CUST00025,2027-04-20,2027-04-20,2345.17,2345.17,Paid,0
RPY0000283,LOAN000011,CUST00028,2025-08-26,2025-10-10,8683.25,8683.25,Late,45
RPY0000284,LOAN000011,CUST00028,2025-09-25,2025-10-05,8683.25,8683.25,Late,10
RPY0000285,LOAN000011,CUST00028,2025-10-25,2025-11-24,8683.25,8683.25,Late,30
RPY0000286,LOAN000011,CUST00028,2025-11-24,2025-11-29,8683.25,8683.25,Late,5
